Image Name,PSNR (dB),SSIM
0000_00,33.6157,0.9084
0001_00,30.0406,0.8491
0002_00,28.9757,0.8670
0003_00,29.6769,0.8047
0004_00,31.3301,0.8567
0005_00,29.2728,0.8627
0006_00,28.6167,0.7947
0007_00,33.5127,0.8936
0008_00,28.0534,0.7670
0009_00,28.9361,0.8353
0010_00,29.4790,0.8432
0011_00,30.4767,0.8246
0012_00,28.8172,0.8565
0013_00,27.7862,0.7730
0014_00,26.6681,0.7989
0015_00,29.0823,0.8507
0016_00,24.7265,0.7451
0017_00,27.2138,0.7602
0018_00,27.2458,0.7496
0019_00,26.0191,0.7051
0020_00,26.7861,0.7845
0021_00,27.1045,0.8270
0022_00,28.3271,0.8344
0023_00,24.7394,0.7207
0024_00,27.1675,0.8109
0025_00,24.4874,0.8179
0026_00,22.1204,0.6734
0027_00,26.0444,0.8080
0028_00,28.4803,0.8436
0029_00,30.1086,0.8466
0030_00,23.9047,0.7889
0031_00,28.3197,0.8562
0032_00,26.4089,0.7799
0033_00,25.7617,0.7961
0034_00,24.9409,0.7827
0035_00,26.4738,0.8176
0036_00,25.8644,0.8091
0037_00,26.0345,0.8294
0038_00,28.2339,0.8782
0039_00,24.2370,0.8283
0040_00,28.5417,0.8516
0041_00,29.1924,0.8693
0042_00,26.1068,0.8367
0043_00,30.5920,0.8993
0044_00,24.9754,0.8213
0045_00,26.5561,0.8530
0046_00,27.9273,0.9034
0047_00,28.5934,0.8493
0048_00,30.3515,0.8714
0049_00,29.1273,0.8432
0050_00,27.8323,0.8169
0051_00,28.2919,0.7990
0052_00,30.6137,0.8245
0053_00,26.3167,0.8012
0054_00,29.0455,0.8481
0055_00,29.5182,0.8392
0056_00,29.9857,0.8581
0057_00,27.5858,0.7908
0058_00,26.1204,0.6907
0059_00,25.4684,0.7426
0060_00,26.3161,0.8217
0061_00,27.1799,0.8167
0062_00,24.2074,0.7944
0063_00,27.2771,0.8215
0064_00,23.5752,0.6949
0065_00,28.0842,0.8095
0066_00,26.7057,0.7728
0067_00,29.3576,0.7537
0068_00,26.5881,0.8266
0069_00,26.5199,0.8060
0070_00,30.1182,0.8936
0071_00,24.1679,0.7335
0072_00,24.7806,0.7209
0073_00,23.6680,0.6930
0074_00,23.2769,0.6811
0075_00,24.8030,0.7708
0076_00,23.3485,0.7677
0077_00,26.6990,0.7912
0078_00,28.5072,0.8617
0079_00,27.2350,0.8336
0080_00,26.5754,0.8080
0081_00,26.3180,0.7638
0082_00,27.6218,0.8160
0083_00,32.2534,0.8820
0084_00,29.9218,0.8469
0085_00,29.4295,0.8711
0086_00,27.8658,0.7741
0087_00,31.2156,0.8690
0088_00,25.1385,0.7880
0089_00,28.7116,0.7232
0090_00,24.4664,0.7227
0091_00,28.0631,0.8349
0092_00,26.6581,0.8164
0093_00,31.2538,0.8739
0094_00,29.4380,0.8400
0095_00,28.5421,0.8236
0096_00,26.9889,0.8304
0097_00,26.0886,0.7473
0098_00,23.5241,0.5795
0099_00,24.2565,0.7681
0100_00,24.9900,0.7841
0101_00,27.6594,0.8095
0102_00,30.4700,0.8955
0103_00,27.0941,0.7826
0104_00,30.4880,0.8659
0105_00,27.7809,0.8327
0106_00,29.9221,0.8262
0107_00,29.8894,0.8467
0108_00,27.8083,0.8303
0109_00,28.6764,0.8032
0110_00,27.2186,0.8021
0111_00,23.8470,0.7202
0112_00,27.1651,0.8260
0113_00,28.3780,0.8542
0114_00,28.6280,0.8374
0115_00,30.3676,0.8142
0116_00,30.6724,0.9045
0117_00,27.4986,0.7819
0118_00,25.8045,0.7686
0119_00,24.1468,0.7332
0120_00,24.8767,0.7814
0121_00,29.3444,0.8696
0122_00,25.6344,0.7766
0123_00,24.4885,0.7839
0124_00,26.0453,0.7516
0125_00,26.3294,0.8734
0126_00,29.2344,0.8690
0127_00,28.8953,0.8814
0128_00,25.1326,0.8240
0129_00,29.7346,0.8383
0130_00,28.9774,0.7774
0131_00,25.6307,0.7288
0132_00,27.8700,0.7054
0133_00,24.3655,0.7299
0134_00,24.0743,0.7287
0135_00,27.5054,0.7715
0136_00,29.1843,0.8637
0137_00,27.3386,0.7846
0138_00,26.9365,0.8116
0139_00,24.6933,0.7422
0140_00,26.3586,0.7849
0141_00,23.9449,0.7161
0142_00,27.4877,0.8118
0143_00,21.8864,0.7810
0144_00,28.2782,0.8533
0145_00,27.8846,0.8058
0146_00,26.6178,0.8141
0147_00,31.0281,0.8482
0148_00,25.4846,0.7939
0149_00,28.4912,0.8856
0150_00,24.7596,0.7482
0151_00,27.5657,0.8834
0152_00,24.5869,0.7593
0153_00,28.0029,0.8638
0154_00,27.4396,0.8412
0155_00,24.1415,0.6796
0156_00,25.5423,0.8044
0157_00,28.1205,0.7962
0158_00,27.8363,0.8572
0159_00,25.0120,0.7584
0160_00,24.5792,0.8180
0161_00,30.0094,0.8862
0162_00,24.5954,0.7308
0163_00,26.9792,0.8631
0164_00,28.3768,0.8736
0165_00,27.5934,0.8493
0166_00,28.7962,0.8632
0167_00,28.3848,0.8324
0168_00,26.3897,0.8824
0169_00,29.8818,0.9007
0170_00,29.7062,0.8904
0171_00,29.8407,0.8807
0172_00,29.5280,0.8972
0173_00,25.5728,0.8465
