Image Name,PSNR (dB),SSIM
Gurutto_0-0_Gurutto_0-0-Webcam-R-000,17.9366,0.2690
Gurutto_0-0_Gurutto_0-0-Webcam-R-001,17.9546,0.2722
Gurutto_0-0_Gurutto_0-0-Webcam-R-002,17.9688,0.2745
Gurutto_0-0_Gurutto_0-0-Webcam-R-003,17.9381,0.2762
Gurutto_0-0_Gurutto_0-0-Webcam-R-004,17.9362,0.2752
Gurutto_0-0_Gurutto_0-0-Webcam-R-005,17.9613,0.2776
Gurutto_0-0_Gurutto_0-0-Webcam-R-006,17.9630,0.2778
Gurutto_0-0_Gurutto_0-0-Webcam-R-007,17.9193,0.2778
Gurutto_0-0_Gurutto_0-0-Webcam-R-008,17.9250,0.2766
Gurutto_0-0_Gurutto_0-0-Webcam-R-009,17.8824,0.2746
Gurutto_0-0_Gurutto_0-0-Webcam-R-010,17.9588,0.2776
Gurutto_0-0_Gurutto_0-0-Webcam-R-011,17.9639,0.2814
Gurutto_0-0_Gurutto_0-0-Webcam-R-012,17.9647,0.2815
Gurutto_0-0_Gurutto_0-0-Webcam-R-013,17.9166,0.2775
Gurutto_0-0_Gurutto_0-0-Webcam-R-014,17.9364,0.2811
Gurutto_0-0_Gurutto_0-0-Webcam-R-015,17.9454,0.2821
Gurutto_0-0_Gurutto_0-0-Webcam-R-016,17.9312,0.2786
Gurutto_0-0_Gurutto_0-0-Webcam-R-017,17.9463,0.2817
Gurutto_0-0_Gurutto_0-0-Webcam-R-018,17.9470,0.2818
Gurutto_0-0_Gurutto_0-0-Webcam-R-019,17.9447,0.2804
Gurutto_0-0_Gurutto_0-0-Webcam-R-020,17.9392,0.2804
Gurutto_0-0_Gurutto_0-0-Webcam-R-021,17.9415,0.2789
Gurutto_0-0_Gurutto_0-0-Webcam-R-022,17.9301,0.2780
Gurutto_0-0_Gurutto_0-0-Webcam-R-023,17.9390,0.2786
Gurutto_0-0_Gurutto_0-0-Webcam-R-024,17.9390,0.2786
Gurutto_0-0_Gurutto_0-0-Webcam-R-025,17.9085,0.2760
Gurutto_0-0_Gurutto_0-0-Webcam-R-026,17.9446,0.2799
Gurutto_0-0_Gurutto_0-0-Webcam-R-027,17.9802,0.2812
Gurutto_0-0_Gurutto_0-0-Webcam-R-028,17.9567,0.2799
Gurutto_0-0_Gurutto_0-0-Webcam-R-029,17.9429,0.2787
Gurutto_0-0_Gurutto_0-0-Webcam-R-030,17.9428,0.2788
Gurutto_0-0_Gurutto_0-0-Webcam-R-031,17.9951,0.2830
Gurutto_0-0_Gurutto_0-0-Webcam-R-032,17.9713,0.2791
Gurutto_0-0_Gurutto_0-0-Webcam-R-033,17.9995,0.2791
Gurutto_0-0_Gurutto_0-0-Webcam-R-034,18.0513,0.2881
Gurutto_0-0_Gurutto_0-0-Webcam-R-035,18.0798,0.2888
Gurutto_0-0_Gurutto_0-0-Webcam-R-036,18.0791,0.2887
Gurutto_0-0_Gurutto_0-0-Webcam-R-037,18.0221,0.2834
Gurutto_0-0_Gurutto_0-0-Webcam-R-038,18.0726,0.2898
Gurutto_0-0_Gurutto_0-0-Webcam-R-039,18.0440,0.2859
Gurutto_0-0_Gurutto_0-0-Webcam-R-040,18.0195,0.2863
Gurutto_0-0_Gurutto_0-0-Webcam-R-041,18.0254,0.2876
Gurutto_0-0_Gurutto_0-0-Webcam-R-042,18.0269,0.2880
Gurutto_0-0_Gurutto_0-0-Webcam-R-043,18.0055,0.2837
Gurutto_0-0_Gurutto_0-0-Webcam-R-044,18.0447,0.2879
Gurutto_0-0_Gurutto_0-0-Webcam-R-045,18.0725,0.2882
Gurutto_0-0_Gurutto_0-0-Webcam-R-046,18.0555,0.2879
Gurutto_0-0_Gurutto_0-0-Webcam-R-047,18.0712,0.2912
Gurutto_0-0_Gurutto_0-0-Webcam-R-048,18.0681,0.2912
Gurutto_0-0_Gurutto_0-0-Webcam-R-049,18.0566,0.2881
Gurutto_0-0_Gurutto_0-0-Webcam-R-050,18.0027,0.2848
Gurutto_0-0_Gurutto_0-0-Webcam-R-051,18.0413,0.2848
Gurutto_0-0_Gurutto_0-0-Webcam-R-052,18.0333,0.2860
Gurutto_0-0_Gurutto_0-0-Webcam-R-053,17.9907,0.2824
Gurutto_0-0_Gurutto_0-0-Webcam-R-054,17.9907,0.2824
Gurutto_0-0_Gurutto_0-0-Webcam-R-055,18.0427,0.2838
Gurutto_0-0_Gurutto_0-0-Webcam-R-056,18.0665,0.2854
Gurutto_0-0_Gurutto_0-0-Webcam-R-057,18.0129,0.2823
Gurutto_0-0_Gurutto_0-0-Webcam-R-058,18.0432,0.2849
Gurutto_0-0_Gurutto_0-0-Webcam-R-059,18.0133,0.2838
Gurutto_0-0_Gurutto_0-0-Webcam-R-060,18.0144,0.2840
Gurutto_0-0_Gurutto_0-0-Webcam-R-061,18.0266,0.2827
Gurutto_0-0_Gurutto_0-0-Webcam-R-062,18.0021,0.2825
Gurutto_0-0_Gurutto_0-0-Webcam-R-063,17.9474,0.2809
Gurutto_0-0_Gurutto_0-0-Webcam-R-064,17.9829,0.2816
Gurutto_0-0_Gurutto_0-0-Webcam-R-065,18.0140,0.2866
Gurutto_0-0_Gurutto_0-0-Webcam-R-066,18.0140,0.2866
Gurutto_0-0_Gurutto_0-0-Webcam-R-067,18.0066,0.2851
Gurutto_0-0_Gurutto_0-0-Webcam-R-068,18.0324,0.2887
Gurutto_0-0_Gurutto_0-0-Webcam-R-069,18.0319,0.2907
Gurutto_0-0_Gurutto_0-0-Webcam-R-070,18.0435,0.2902
