Image Name,PSNR (dB),SSIM
im_0001_s100_a04,13.4889,0.5237
im_0001_s100_a05,11.3264,0.5975
im_0001_s100_a06,12.5415,0.5459
im_0001_s80_a04,11.8185,0.4357
im_0001_s80_a05,14.1122,0.5891
im_0001_s80_a06,13.0929,0.5201
im_0001_s85_a04,13.1824,0.5558
im_0001_s85_a05,12.2848,0.6036
im_0001_s85_a06,12.4158,0.5760
im_0001_s90_a04,12.8348,0.5333
im_0001_s90_a05,11.8683,0.4857
im_0001_s90_a06,11.9744,0.5999
im_0001_s95_a04,11.5621,0.5986
im_0001_s95_a05,12.5830,0.5326
im_0001_s95_a06,12.7071,0.5399
im_0002_s100_a04,15.4036,0.6917
im_0002_s100_a05,13.9780,0.6561
im_0002_s100_a06,14.6069,0.7261
im_0002_s80_a04,13.1275,0.6983
im_0002_s80_a05,14.9472,0.7343
im_0002_s80_a06,13.7024,0.6140
im_0002_s85_a04,15.9869,0.6971
im_0002_s85_a05,12.9682,0.6702
im_0002_s85_a06,15.6217,0.7347
im_0002_s90_a04,13.7215,0.6306
im_0002_s90_a05,14.3256,0.6238
im_0002_s90_a06,15.3122,0.6337
im_0002_s95_a04,14.6734,0.6421
im_0002_s95_a05,14.4970,0.6821
im_0002_s95_a06,16.1092,0.7562
im_0003_s100_a04,11.4262,0.4979
im_0003_s100_a05,14.7881,0.5491
im_0003_s100_a06,15.6533,0.5627
im_0003_s80_a04,12.0710,0.4140
im_0003_s80_a05,14.1767,0.5194
im_0003_s80_a06,10.4510,0.4267
im_0003_s85_a04,9.8471,0.4551
im_0003_s85_a05,14.2092,0.4553
im_0003_s85_a06,9.8244,0.4795
im_0003_s90_a04,13.5483,0.4288
im_0003_s90_a05,14.7033,0.4641
im_0003_s90_a06,12.3425,0.4190
im_0003_s95_a04,15.3991,0.5673
im_0003_s95_a05,14.1232,0.4797
im_0003_s95_a06,13.2097,0.5277
im_0004_s100_a04,12.8735,0.5368
im_0004_s100_a05,12.4814,0.5043
im_0004_s100_a06,14.0013,0.5436
im_0004_s80_a04,10.7363,0.4973
im_0004_s80_a05,10.0587,0.4549
im_0004_s80_a06,10.9728,0.5153
im_0004_s85_a04,12.6695,0.5755
im_0004_s85_a05,11.0266,0.4664
im_0004_s85_a06,12.6054,0.5210
im_0004_s90_a04,10.2277,0.4717
im_0004_s90_a05,12.7135,0.4906
im_0004_s90_a06,12.0620,0.4544
im_0004_s95_a04,12.2662,0.4790
im_0004_s95_a05,12.0427,0.5578
im_0004_s95_a06,12.9769,0.5207
im_0005_s100_a04,13.6912,0.5615
im_0005_s100_a05,12.4109,0.5807
im_0005_s100_a06,15.5510,0.6088
im_0005_s80_a04,12.4354,0.5110
im_0005_s80_a05,13.4716,0.6507
im_0005_s80_a06,13.2152,0.6258
im_0005_s85_a04,14.3103,0.5275
im_0005_s85_a05,13.6740,0.5673
im_0005_s85_a06,15.0539,0.5426
im_0005_s90_a04,14.5379,0.5418
im_0005_s90_a05,15.2743,0.5294
im_0005_s90_a06,16.1131,0.5339
im_0005_s95_a04,16.7756,0.5837
im_0005_s95_a05,15.5624,0.6960
im_0005_s95_a06,16.6054,0.6187
