Image Name,PSNR (dB),SSIM
raindrop_101,25.6979,0.7487
raindrop_102,25.6921,0.7431
raindrop_107,17.8598,0.7225
raindrop_108,17.5720,0.7173
raindrop_113,19.8921,0.7662
raindrop_114,18.2448,0.7599
raindrop_115,24.5601,0.7633
raindrop_118,16.7350,0.5908
raindrop_121,13.4920,0.5228
raindrop_122,19.1629,0.6598
raindrop_123,26.6476,0.8045
raindrop_125,17.7085,0.6401
raindrop_126,24.2760,0.6577
raindrop_127,19.6139,0.6828
raindrop_13,16.4904,0.6539
raindrop_131,22.0673,0.7367
raindrop_132,19.1497,0.7023
raindrop_137,22.1333,0.6864
raindrop_138,20.7112,0.7221
raindrop_139,25.7286,0.6619
raindrop_14,18.2151,0.7342
raindrop_144,17.0699,0.5971
raindrop_145,15.8968,0.6762
raindrop_146,16.9492,0.6962
raindrop_148,16.6061,0.6505
raindrop_149,17.1141,0.5035
raindrop_150,20.8274,0.7415
raindrop_151,19.1667,0.6923
raindrop_152,21.2305,0.7084
raindrop_155,18.8040,0.6298
raindrop_157,16.0500,0.5235
raindrop_158,18.7220,0.7503
raindrop_163,19.1487,0.7229
raindrop_164,19.2955,0.7425
raindrop_169,21.1232,0.7023
raindrop_170,17.3201,0.6663
raindrop_175,19.4310,0.7249
raindrop_176,18.9178,0.6159
raindrop_181,19.9209,0.6460
raindrop_182,20.7536,0.7114
raindrop_187,15.7176,0.5362
raindrop_188,17.1424,0.4516
raindrop_19,15.9352,0.4204
raindrop_193,17.1032,0.6092
raindrop_194,18.8917,0.6453
raindrop_199,19.2926,0.6695
raindrop_2,18.5967,0.6572
raindrop_20,15.8825,0.4338
raindrop_200,21.9935,0.6593
raindrop_205,16.4841,0.5941
raindrop_206,18.9569,0.6291
raindrop_207,19.5615,0.7495
raindrop_208,18.6734,0.7011
raindrop_209,17.1964,0.6281
raindrop_210,18.4746,0.7311
raindrop_211,20.9744,0.7005
raindrop_212,18.0366,0.6671
raindrop_213,17.1212,0.6502
raindrop_214,15.0376,0.5330
raindrop_215,17.3822,0.6132
raindrop_216,15.2956,0.5408
raindrop_217,15.7334,0.5007
raindrop_218,21.2141,0.6608
raindrop_25,16.5754,0.3374
raindrop_26,14.2095,0.1121
raindrop_30,11.9531,0.5050
raindrop_32,19.2890,0.7014
raindrop_33,19.4121,0.7628
raindrop_34,17.5083,0.6217
raindrop_35,18.2288,0.5023
raindrop_37,13.8376,0.5180
raindrop_41,18.9254,0.7030
raindrop_42,13.4745,0.6757
raindrop_43,15.9891,0.6771
raindrop_44,19.1760,0.6543
raindrop_47,20.1830,0.6306
raindrop_50,18.5215,0.7241
raindrop_51,18.9735,0.6705
raindrop_52,19.1966,0.6804
raindrop_53,19.1452,0.7273
raindrop_58,14.8137,0.5085
raindrop_59,20.3524,0.7303
raindrop_6,14.6136,0.4958
raindrop_64,19.4530,0.6869
raindrop_65,17.9248,0.6821
raindrop_66,20.3303,0.6977
raindrop_7,14.7101,0.5377
raindrop_71,22.1245,0.7947
raindrop_72,26.6046,0.8185
raindrop_77,22.9672,0.7691
raindrop_78,18.7036,0.7189
raindrop_8,18.1677,0.6291
raindrop_83,21.9938,0.5979
raindrop_84,17.2504,0.6213
raindrop_89,17.9637,0.2721
raindrop_90,21.7685,0.7407
raindrop_95,23.0689,0.7744
raindrop_96,23.2383,0.8456
rainstreak_101,23.9160,0.5956
rainstreak_102,24.7342,0.6858
rainstreak_107,19.5108,0.6986
rainstreak_108,24.9794,0.7851
rainstreak_113,25.6005,0.8307
rainstreak_114,25.8255,0.8540
rainstreak_115,24.7923,0.7444
rainstreak_118,20.3867,0.6150
rainstreak_121,19.9690,0.6720
rainstreak_122,22.6066,0.6699
rainstreak_123,25.6016,0.7112
rainstreak_125,24.3380,0.7070
rainstreak_126,22.4781,0.4769
rainstreak_127,24.7957,0.8120
rainstreak_13,18.7861,0.6251
rainstreak_131,27.5270,0.7985
rainstreak_132,22.3767,0.6458
rainstreak_137,21.9663,0.6437
rainstreak_138,26.1311,0.7886
rainstreak_139,24.6887,0.6705
rainstreak_14,20.7772,0.6848
rainstreak_144,18.6683,0.5425
rainstreak_145,22.1858,0.7480
rainstreak_146,22.8825,0.7762
rainstreak_148,21.1446,0.7278
rainstreak_149,20.6147,0.5631
rainstreak_150,24.9470,0.7835
rainstreak_151,23.9093,0.7403
rainstreak_152,22.5316,0.7641
rainstreak_155,26.1214,0.8193
rainstreak_157,19.9720,0.6693
rainstreak_158,20.4866,0.7807
rainstreak_163,24.6818,0.8439
rainstreak_164,20.7426,0.7737
rainstreak_169,20.2784,0.6943
rainstreak_170,17.9834,0.6283
rainstreak_175,22.6975,0.7367
rainstreak_176,22.4456,0.8099
rainstreak_181,20.9394,0.7087
rainstreak_182,23.9858,0.7357
rainstreak_187,19.9417,0.7042
rainstreak_188,20.8622,0.7085
rainstreak_19,15.8221,0.2793
rainstreak_193,20.4705,0.6760
rainstreak_194,26.0063,0.7817
rainstreak_199,25.1644,0.7488
rainstreak_2,18.2297,0.6543
rainstreak_20,15.9079,0.4625
rainstreak_200,27.1598,0.7938
rainstreak_205,23.0259,0.7243
rainstreak_206,24.6934,0.7588
rainstreak_207,23.5455,0.8006
rainstreak_208,20.6668,0.7736
rainstreak_209,22.1719,0.7515
rainstreak_210,22.0311,0.7969
rainstreak_211,23.8074,0.7530
rainstreak_212,22.8794,0.7393
rainstreak_213,22.3170,0.7170
rainstreak_214,18.5828,0.5804
rainstreak_215,24.0274,0.6991
rainstreak_216,19.6206,0.5985
rainstreak_217,20.7756,0.5990
rainstreak_218,25.0929,0.7399
rainstreak_25,17.4205,0.5319
rainstreak_26,18.2071,0.5810
rainstreak_30,16.7609,0.3593
rainstreak_32,17.9353,0.5985
rainstreak_33,17.2519,0.5501
rainstreak_34,21.5088,0.6907
rainstreak_35,22.6333,0.7012
rainstreak_37,16.7951,0.5923
rainstreak_41,21.0740,0.7130
rainstreak_42,17.1978,0.6768
rainstreak_43,21.4346,0.7776
rainstreak_44,23.1386,0.7429
rainstreak_47,20.8720,0.6206
rainstreak_50,22.3679,0.7842
rainstreak_51,21.7634,0.7144
rainstreak_52,22.2386,0.7388
rainstreak_53,20.4272,0.7041
rainstreak_58,22.8955,0.5280
rainstreak_59,23.4273,0.7051
rainstreak_6,21.1626,0.7543
rainstreak_64,21.8032,0.6485
rainstreak_65,19.6978,0.6916
rainstreak_66,22.0815,0.7047
rainstreak_7,19.8943,0.6699
rainstreak_71,24.1497,0.7908
rainstreak_72,22.6008,0.7509
rainstreak_77,20.4965,0.6060
rainstreak_78,22.0291,0.6563
rainstreak_8,21.7554,0.7481
rainstreak_83,24.3842,0.6589
rainstreak_84,22.4702,0.6128
rainstreak_89,21.0295,0.5524
rainstreak_90,21.4554,0.6365
rainstreak_95,22.9392,0.7088
rainstreak_96,26.1046,0.7511
rainstreak_raindrop_101,22.8177,0.6426
rainstreak_raindrop_102,22.6935,0.6351
rainstreak_raindrop_107,17.6742,0.6715
rainstreak_raindrop_108,16.7178,0.6658
rainstreak_raindrop_113,18.4687,0.7150
rainstreak_raindrop_114,17.6516,0.7281
rainstreak_raindrop_115,22.1173,0.6840
rainstreak_raindrop_118,15.5700,0.4917
rainstreak_raindrop_121,13.0183,0.4930
rainstreak_raindrop_122,17.3399,0.5814
rainstreak_raindrop_123,24.3599,0.7216
rainstreak_raindrop_125,17.4741,0.6169
rainstreak_raindrop_126,23.3536,0.6330
rainstreak_raindrop_127,19.2682,0.6717
rainstreak_raindrop_13,15.8979,0.6124
rainstreak_raindrop_131,21.6553,0.6752
rainstreak_raindrop_132,17.1886,0.5564
rainstreak_raindrop_137,19.4268,0.5925
rainstreak_raindrop_138,20.2424,0.6655
rainstreak_raindrop_139,22.7488,0.6160
rainstreak_raindrop_14,17.0019,0.5234
rainstreak_raindrop_144,15.7691,0.4732
rainstreak_raindrop_145,14.5427,0.6063
rainstreak_raindrop_146,15.5340,0.6071
rainstreak_raindrop_148,15.7422,0.5653
rainstreak_raindrop_149,16.5550,0.4796
rainstreak_raindrop_150,19.9230,0.7048
rainstreak_raindrop_151,18.0461,0.6198
rainstreak_raindrop_152,20.3108,0.6690
rainstreak_raindrop_155,18.4624,0.5963
rainstreak_raindrop_157,15.5488,0.5050
rainstreak_raindrop_158,17.6279,0.6582
rainstreak_raindrop_163,18.6456,0.6775
rainstreak_raindrop_164,18.1351,0.6741
rainstreak_raindrop_169,18.3549,0.5611
rainstreak_raindrop_170,15.4309,0.5237
rainstreak_raindrop_175,18.9723,0.6316
rainstreak_raindrop_176,18.6725,0.6339
rainstreak_raindrop_181,18.5124,0.5723
rainstreak_raindrop_182,20.3075,0.6348
rainstreak_raindrop_187,15.0366,0.4960
rainstreak_raindrop_188,16.8323,0.4238
rainstreak_raindrop_19,14.2864,0.4802
rainstreak_raindrop_193,16.2153,0.5376
rainstreak_raindrop_194,18.6020,0.6018
rainstreak_raindrop_199,16.9338,0.5623
rainstreak_raindrop_2,15.4618,0.2989
rainstreak_raindrop_20,14.3809,0.4187
rainstreak_raindrop_200,21.0098,0.6101
rainstreak_raindrop_205,15.5964,0.5553
rainstreak_raindrop_206,18.3773,0.6130
rainstreak_raindrop_207,18.4978,0.6950
rainstreak_raindrop_208,16.5253,0.6352
rainstreak_raindrop_209,16.2633,0.5868
rainstreak_raindrop_210,16.8385,0.6678
rainstreak_raindrop_211,19.7217,0.6548
rainstreak_raindrop_212,16.6493,0.6091
rainstreak_raindrop_213,15.3639,0.5906
rainstreak_raindrop_214,13.8007,0.4821
rainstreak_raindrop_215,16.5161,0.5521
rainstreak_raindrop_216,13.9393,0.4622
rainstreak_raindrop_217,15.1877,0.4478
rainstreak_raindrop_218,18.1785,0.6097
rainstreak_raindrop_25,14.5863,0.1836
rainstreak_raindrop_26,13.7866,0.0810
rainstreak_raindrop_30,10.7689,0.3541
rainstreak_raindrop_32,16.6959,0.4994
rainstreak_raindrop_33,15.1583,0.5184
rainstreak_raindrop_34,16.2675,0.5427
rainstreak_raindrop_35,17.0700,0.4143
rainstreak_raindrop_37,12.2888,0.4172
rainstreak_raindrop_41,16.0973,0.5814
rainstreak_raindrop_42,12.5260,0.5621
rainstreak_raindrop_43,15.8154,0.6498
rainstreak_raindrop_44,18.3464,0.5879
rainstreak_raindrop_47,19.2800,0.5552
rainstreak_raindrop_50,16.9659,0.6456
rainstreak_raindrop_51,18.2114,0.6260
rainstreak_raindrop_52,17.9270,0.6183
rainstreak_raindrop_53,15.1020,0.5461
rainstreak_raindrop_58,13.2403,0.3734
rainstreak_raindrop_59,19.0653,0.6418
rainstreak_raindrop_6,13.6572,0.3492
rainstreak_raindrop_64,17.2014,0.5914
rainstreak_raindrop_65,17.8159,0.6275
rainstreak_raindrop_66,18.6498,0.6203
rainstreak_raindrop_7,13.8139,0.4944
rainstreak_raindrop_71,21.9930,0.7564
rainstreak_raindrop_72,21.9611,0.7637
rainstreak_raindrop_77,20.8109,0.6597
rainstreak_raindrop_78,17.8176,0.6170
rainstreak_raindrop_8,17.3277,0.5961
rainstreak_raindrop_83,21.3711,0.4405
rainstreak_raindrop_84,15.7980,0.4978
rainstreak_raindrop_89,17.6979,0.2407
rainstreak_raindrop_90,18.6229,0.5776
rainstreak_raindrop_95,20.7639,0.6747
rainstreak_raindrop_96,23.0475,0.7590

Average,19.4357,0.6360
