Image Name,PSNR (dB),SSIM
raindrop_pie-rd-100,18.0054,0.7210
raindrop_pie-rd-104,18.2143,0.7500
raindrop_pie-rd-108,18.9634,0.7351
raindrop_pie-rd-109,18.0787,0.7158
raindrop_pie-rd-110,19.2139,0.7566
raindrop_pie-rd-113,19.7923,0.7526
raindrop_pie-rd-118,19.7262,0.7503
raindrop_pie-rd-124,18.7702,0.7392
raindrop_pie-rd-128,18.6602,0.7353
raindrop_pie-rd-138,19.7816,0.7319
raindrop_pie-rd-143,19.6737,0.7480
raindrop_pie-rd-163,17.6947,0.7525
raindrop_pie-rd-173,17.6651,0.7569
raindrop_pie-rd-174,17.8179,0.7607
raindrop_pie-rd-180,18.0101,0.7649
raindrop_pie-rd-182,17.3312,0.7515
raindrop_pie-rd-19,21.4610,0.7965
raindrop_pie-rd-212,18.0938,0.7493
raindrop_pie-rd-213,18.0586,0.7487
raindrop_pie-rd-216,17.9984,0.7525
raindrop_pie-rd-223,17.8731,0.7403
raindrop_pie-rd-225,17.9140,0.7452
raindrop_pie-rd-228,18.0924,0.7447
raindrop_pie-rd-229,18.0671,0.7417
raindrop_pie-rd-234,20.3528,0.8091
raindrop_pie-rd-236,20.2409,0.8114
raindrop_pie-rd-237,20.2152,0.8118
raindrop_pie-rd-264,21.8470,0.8736
raindrop_pie-rd-268,22.5223,0.8722
raindrop_pie-rd-28,21.3372,0.7905
raindrop_pie-rd-299,21.6135,0.8415
raindrop_pie-rd-306,22.3621,0.8686
raindrop_pie-rd-308,22.6882,0.8746
raindrop_pie-rd-311,23.6728,0.8806
raindrop_pie-rd-313,23.7033,0.8811
raindrop_pie-rd-323,21.7430,0.8349
raindrop_pie-rd-326,21.5550,0.8387
raindrop_pie-rd-332,22.8917,0.8423
raindrop_pie-rd-343,22.6702,0.8461
raindrop_pie-rd-344,22.8416,0.8411
raindrop_pie-rd-349,22.3042,0.8328
raindrop_pie-rd-35,20.9036,0.7769
raindrop_pie-rd-353,22.8026,0.8466
raindrop_pie-rd-355,22.4480,0.8415
raindrop_pie-rd-36,21.0014,0.7799
raindrop_pie-rd-37,21.1364,0.7836
raindrop_pie-rd-374,21.3865,0.7911
raindrop_pie-rd-380,21.0487,0.7933
raindrop_pie-rd-381,19.9297,0.7715
raindrop_pie-rd-383,19.8576,0.7714
raindrop_pie-rd-389,19.1414,0.7799
raindrop_pie-rd-391,19.2000,0.7799
raindrop_pie-rd-393,19.2073,0.7773
raindrop_pie-rd-4,20.9608,0.7613
raindrop_pie-rd-406,20.0502,0.7937
raindrop_pie-rd-408,20.0893,0.7947
raindrop_pie-rd-416,20.2797,0.8077
raindrop_pie-rd-418,20.2396,0.7986
raindrop_pie-rd-424,18.8653,0.7162
raindrop_pie-rd-43,21.1469,0.7900
raindrop_pie-rd-431,19.4827,0.7364
