Image Name,PSNR (dB),SSIM
1002,31.2781,0.9521
1003,17.0494,0.7223
1004,25.1697,0.7534
1006,18.7827,0.5897
1009,26.4984,0.6698
1010,28.3750,0.8665
1013,25.8436,0.7031
1014,24.1452,0.6353
1015,21.9104,0.6682
1016,26.1116,0.7720
102,26.5515,0.8283
1020,25.7139,0.6695
1023,22.5597,0.5310
1030,24.9895,0.6980
1031,18.1596,0.3213
1035,21.6075,0.5843
1040,27.2378,0.7296
1041,22.4173,0.5337
1050,25.6433,0.6033
106,25.5463,0.8396
1060,24.0628,0.6122
107,18.8712,0.7691
1071,16.1990,0.4887
1080,22.9811,0.5880
1086,24.6000,0.6939
1088,26.1703,0.7415
1096,22.4083,0.6836
1097,23.9484,0.7185
110,21.5165,0.7403
1101,26.8198,0.7142
1102,20.2007,0.5508
1105,20.2987,0.4556
1107,19.7526,0.5741
1108,17.1145,0.5465
1109,17.3409,0.3724
1113,18.7402,0.4719
114,28.6324,0.8150
115,32.8642,0.9396
120,19.6341,0.5692
122,18.5527,0.5966
134,29.0171,0.8773
136,22.5752,0.6566
141,20.1896,0.6110
15,25.1946,0.6758
152,22.4511,0.6452
153,19.8920,0.5647
17,19.1470,0.6338
170,28.3695,0.9473
173,23.2542,0.6715
178,20.4965,0.5604
18,23.2181,0.8384
180,20.0876,0.7191
181,21.5033,0.6607
187,19.9806,0.6168
188,32.5394,0.9490
189,22.8941,0.6147
195,25.6386,0.7690
197,14.9108,0.2880
198,21.2681,0.5146
2,21.3234,0.6347
200,28.4229,0.8630
221,19.3714,0.5852
231,19.5665,0.6529
232,17.2525,0.4946
25,20.4185,0.8604
252,22.1251,0.7600
257,17.7026,0.3638
261,22.2596,0.7754
262,15.6995,0.2496
264,18.1486,0.4623
268,16.6443,0.4751
287,19.6429,0.5056
290,18.2237,0.4848
311,21.4558,0.6959
313,18.7588,0.4555
338,14.3498,0.5084
34,18.2506,0.6806
345,14.1160,0.4808
346,16.1389,0.4603
348,16.5266,0.5526
35,16.6927,0.3975
356,25.8817,0.8278
36,22.4976,0.3948
367,20.7366,0.8275
368,24.8346,0.6978
37,33.4461,0.9349
378,20.8436,0.7185
381,25.1194,0.6880
382,23.3908,0.8359
389,18.6784,0.5597
39,18.5850,0.4391
399,21.1981,0.7316
40,19.8788,0.7544
403,15.2627,0.3820
404,22.0207,0.6838
407,14.7456,0.1808
410,13.7036,0.2113
412,19.9850,0.4975
425,17.6270,0.4859
429,25.6136,0.6994
45,23.5573,0.8753
451,25.7888,0.8503
465,21.4827,0.6069
47,24.5825,0.7831
472,18.1662,0.5503
479,23.9103,0.6783
481,25.0427,0.8332
485,22.5989,0.6427
495,23.4593,0.7702
497,23.5454,0.7451
499,24.0647,0.7598
50,25.4520,0.9104
502,27.2533,0.8400
52,16.8181,0.5972
524,21.6844,0.7920
525,22.1087,0.7107
528,20.5359,0.4962
529,24.4689,0.7353
54,21.6821,0.8787
540,24.5038,0.8269
548,17.5343,0.6188
551,21.3205,0.6340
565,19.0120,0.6087
566,18.6573,0.6597
569,19.0765,0.6995
576,19.7994,0.7091
578,17.7632,0.6604
58,21.3199,0.7071
584,20.3302,0.6490
587,24.2108,0.7934
588,25.0681,0.7655
596,20.2708,0.7109
598,21.1961,0.8689
602,21.7912,0.5919
61,24.7324,0.8545
614,23.1655,0.6491
622,20.9349,0.7461
628,28.4928,0.8210
636,23.7011,0.7157
637,24.5701,0.7771
642,21.3287,0.6516
643,20.8253,0.6221
645,18.1882,0.7278
65,26.3639,0.8604
661,19.2055,0.4392
665,20.9847,0.6895
666,18.4049,0.5914
668,25.4000,0.8201
671,18.5308,0.5951
674,22.3090,0.8797
678,16.2598,0.4254
682,19.6870,0.4845
689,19.7772,0.4587
690,22.1483,0.7222
7,22.1143,0.8414
70,16.6853,0.6514
702,20.1615,0.6751
706,22.7980,0.7009
711,21.9447,0.6049
716,25.9637,0.9186
719,23.7405,0.7088
72,19.7332,0.6343
720,26.3048,0.7590
721,26.2933,0.7964
727,24.8031,0.7165
729,18.6971,0.6202
732,24.6614,0.8109
742,24.9025,0.6211
744,20.2633,0.6141
751,22.4214,0.5006
752,23.4334,0.7079
755,22.2232,0.6318
756,21.6663,0.5900
759,22.9058,0.6320
762,18.4946,0.5634
765,18.7847,0.5894
766,17.4777,0.4898
767,23.6626,0.6324
770,22.7521,0.6691
778,21.7935,0.8749
779,25.3366,0.8173
78,25.1510,0.8379
780,24.6289,0.7385
788,23.7478,0.8693
789,21.0441,0.5529
79,18.9801,0.7383
797,21.9234,0.7909
813,17.7039,0.3587
814,20.2781,0.4906
817,21.0348,0.6511
826,14.6049,0.4394
834,15.1787,0.4332
835,14.2387,0.5066
839,16.7084,0.3322
845,16.7034,0.3745
847,10.8483,0.2020
850,16.2692,0.5120
855,18.0218,0.5305
859,16.1722,0.4095
862,19.0256,0.6734
863,21.6563,0.6578
864,20.0629,0.5722
865,16.2064,0.5101
87,20.7430,0.7067
882,18.7394,0.5236
883,17.8677,0.3403
884,18.7708,0.3349
885,20.3435,0.4758
9,21.5921,0.6439
933,17.9838,0.4954
939,20.6665,0.5249
94,22.3885,0.7192
941,18.9724,0.4881
944,26.8901,0.6960
946,16.6728,0.1631
947,16.0719,0.4330
95,31.2547,0.9336
950,17.8534,0.6765
957,22.2300,0.8934
959,27.3439,0.6979
96,32.8475,0.9001
969,32.1129,0.8881
994,20.5310,0.6172
995,23.7813,0.6331

Average,21.5848,0.6451
