Image Name,PSNR (dB),SSIM
1002,28.8827,0.9598
1003,18.6291,0.8274
1004,27.1519,0.8504
1006,24.7850,0.8004
1009,23.4163,0.7541
1010,29.5566,0.9121
1013,27.8831,0.8750
1014,30.0250,0.8528
1015,26.9520,0.8302
1016,29.2716,0.8502
102,30.1775,0.9138
1020,26.9057,0.7304
1023,18.7668,0.6910
1030,24.9565,0.7938
1031,22.9619,0.6987
1035,20.0235,0.7000
1040,27.8183,0.7963
1041,24.1148,0.6456
1050,26.2987,0.7124
106,29.7323,0.9299
1060,22.8801,0.7030
107,18.4508,0.7790
1071,24.4900,0.7000
1080,24.8703,0.6906
1086,23.2898,0.8017
1088,26.8861,0.8071
1096,19.3790,0.7163
1097,22.1300,0.7742
110,22.4907,0.7937
1101,27.6451,0.8303
1102,22.2554,0.7561
1105,23.4073,0.7126
1107,22.7885,0.7296
1108,17.6141,0.7195
1109,15.7006,0.5067
1113,18.6139,0.6133
114,29.1940,0.8400
115,31.1039,0.9490
120,22.4857,0.6831
122,21.4708,0.6990
134,30.3280,0.8978
136,25.5668,0.7465
141,22.3831,0.6705
15,26.3576,0.8111
152,26.3162,0.8046
153,22.8881,0.6570
17,20.8661,0.7115
170,33.7121,0.9707
173,25.7863,0.7302
178,24.7356,0.6889
18,22.4856,0.8446
180,21.9417,0.7769
181,25.2767,0.7364
187,22.6570,0.7225
188,32.6955,0.9536
189,26.4363,0.8227
195,28.3958,0.8693
197,19.3778,0.5656
198,22.9282,0.6108
2,22.3192,0.7369
200,27.4856,0.8710
221,21.7148,0.7300
231,21.6354,0.7170
232,19.9666,0.6363
25,19.6172,0.8617
252,24.3045,0.8598
257,20.6552,0.6362
261,23.7733,0.8204
262,19.0021,0.4999
264,22.1803,0.6798
268,19.1300,0.5946
287,23.1093,0.7591
290,19.9324,0.6228
311,24.8411,0.8250
313,22.7169,0.6821
338,18.0589,0.7265
34,22.2353,0.7786
345,17.1637,0.7254
346,19.7172,0.7243
348,18.9338,0.6814
35,18.8503,0.5450
356,28.0007,0.9079
36,27.0076,0.6599
367,24.9291,0.9214
368,25.6968,0.8621
37,33.4429,0.9353
378,21.9168,0.8029
381,28.2476,0.8471
382,23.8276,0.8809
389,21.2301,0.8414
39,20.3174,0.6136
399,21.4564,0.7756
40,19.2037,0.7649
403,17.3534,0.5503
404,22.8183,0.7726
407,18.4021,0.4704
410,15.5651,0.3625
412,22.0824,0.6592
425,21.3373,0.5962
429,24.8988,0.7095
45,22.8058,0.8946
451,27.4741,0.8811
465,22.4106,0.7349
47,26.5713,0.8364
472,21.1628,0.7019
479,24.9534,0.7639
481,25.4501,0.8833
485,23.8702,0.7241
495,25.0213,0.8546
497,24.9882,0.8253
499,25.5220,0.8373
50,26.3875,0.9182
502,28.2857,0.8840
52,19.8824,0.7075
524,21.9288,0.8614
525,23.5936,0.8033
528,19.7006,0.6793
529,25.6182,0.8372
54,22.9201,0.9079
540,25.7423,0.8971
548,20.4931,0.7720
551,22.5549,0.7281
565,21.8301,0.8287
566,20.3834,0.8475
569,20.4756,0.8021
576,20.8735,0.7812
578,18.1119,0.7583
58,25.3169,0.8437
584,22.8412,0.7858
587,24.6440,0.8583
588,26.0014,0.8395
596,19.4670,0.8179
598,19.6219,0.9393
602,23.3891,0.7149
61,27.8386,0.8941
614,22.2776,0.6978
622,22.5058,0.8197
628,29.5217,0.8884
636,24.1742,0.7841
637,25.7742,0.8349
642,19.7335,0.6811
643,21.5382,0.7359
645,17.6661,0.7754
65,27.6008,0.8890
661,22.7948,0.6926
665,24.0175,0.8015
666,22.9625,0.8126
668,27.6853,0.8848
671,21.3403,0.7282
674,23.0794,0.9068
678,19.3279,0.6283
682,24.2767,0.8376
689,20.8634,0.6915
690,24.7480,0.8551
7,25.6970,0.8905
70,17.8374,0.7413
702,22.3412,0.7890
706,23.8368,0.7562
711,21.5739,0.7250
716,26.0679,0.9320
719,25.6649,0.7967
72,19.1739,0.6432
720,26.9036,0.8728
721,25.9591,0.8922
727,24.7754,0.8055
729,22.7844,0.8244
732,25.5592,0.8658
742,24.1937,0.6738
744,24.4224,0.7964
751,23.1552,0.6280
752,27.7613,0.8713
755,25.5180,0.7977
756,23.6132,0.7535
759,25.5659,0.7771
762,19.4547,0.7260
765,19.3087,0.7655
766,17.1814,0.6344
767,26.8301,0.7973
770,28.7017,0.8744
778,23.6971,0.9237
779,26.6923,0.8968
78,22.4824,0.7580
780,27.2492,0.8803
788,25.0112,0.9379
789,20.9270,0.6279
79,23.2797,0.8596
797,23.1009,0.8476
813,21.7530,0.6278
814,22.0732,0.5870
817,25.3791,0.7577
826,17.4501,0.6054
834,19.4085,0.6891
835,16.9843,0.5932
839,21.0093,0.6008
845,19.3283,0.5626
847,15.4153,0.5231
850,17.1903,0.5977
855,21.5099,0.6644
859,21.1637,0.6779
862,23.9153,0.8023
863,21.7800,0.7123
864,23.5379,0.6811
865,18.5906,0.6317
87,19.8660,0.7261
882,20.9694,0.6228
883,20.1613,0.4814
884,20.5712,0.4243
885,25.6483,0.7543
9,22.5901,0.7205
933,21.0044,0.6786
939,21.7328,0.6133
94,25.6294,0.8099
941,23.6713,0.6332
944,27.1715,0.7066
946,19.4589,0.5687
947,21.2040,0.6471
95,29.9968,0.9319
950,27.6831,0.8526
957,23.0854,0.9099
959,32.6993,0.8599
96,33.4491,0.9137
969,35.2627,0.9373
994,22.6935,0.7071
995,29.3940,0.7645

Average,23.4752,0.7620
