Image Name,PSNR (dB),SSIM
1,25.2980,0.8337
10,24.7236,0.8336
100,26.8171,0.7862
1000,23.6089,0.7401
1001,26.2669,0.7748
1002,29.6719,0.8783
1003,19.9947,0.7100
1004,24.1158,0.7845
1005,23.2278,0.8305
1006,28.6222,0.8893
1007,25.8318,0.8256
1008,27.0747,0.8499
1009,28.2963,0.9264
101,30.3672,0.9117
1010,26.4311,0.9110
1011,23.8610,0.7926
1012,22.5138,0.8072
1013,28.4114,0.8786
1014,25.9652,0.8133
1015,28.5638,0.8418
1016,29.1906,0.8339
1017,24.4644,0.8087
1018,26.0608,0.8667
1019,18.4450,0.6791
102,22.2695,0.8620
1020,21.3084,0.7290
1021,24.8303,0.8623
1022,25.0268,0.8266
1023,31.5210,0.9374
1024,19.9060,0.6597
1025,27.4363,0.7504
1026,15.1243,0.5739
1027,28.9290,0.8761
1028,27.4027,0.9155
1029,23.4194,0.8351
103,24.3101,0.8486
1030,25.3475,0.8588
1031,26.1840,0.7558
1032,26.2838,0.8715
1033,24.8804,0.8451
1034,19.8031,0.7797
1035,26.7780,0.7932
1036,21.6418,0.8076
1037,26.6094,0.7832
1038,25.5635,0.7821
1039,23.3140,0.8154
104,25.3434,0.7712
1040,24.3110,0.8470
1041,23.9416,0.7743
1042,28.6196,0.8951
1043,26.2417,0.7935
1044,28.7891,0.8344
1045,20.1273,0.7036
1046,27.8577,0.8646
1047,25.9419,0.8545
1048,23.0562,0.7445
1049,25.8860,0.8281
105,24.9116,0.8775
1050,28.2849,0.8513
1051,29.7405,0.9243
1052,24.8939,0.8621
1053,26.0239,0.9135
1054,25.6790,0.8009
1055,23.5018,0.7905
1056,24.7817,0.8282
1057,27.7592,0.8778
1058,24.4733,0.8432
1059,19.8753,0.7968
106,26.8853,0.8993
1060,21.7898,0.7510
1061,22.8925,0.7486
1062,16.3271,0.6816
1063,20.5315,0.8147
1064,23.8562,0.8450
1065,15.9783,0.5061
1066,25.6599,0.7526
1067,27.7249,0.8519
1068,22.0939,0.7972
1069,24.7661,0.8152
107,27.6526,0.8880
1070,29.1093,0.8830
1071,25.4763,0.7247
1072,17.2438,0.7516
1073,28.8739,0.9319
1074,27.6428,0.8182
1075,28.2391,0.7950
1076,20.6230,0.7523
1077,21.7752,0.7340
1078,25.7058,0.7889
1079,20.7201,0.6897
108,23.7917,0.6826
1080,26.2852,0.8229
1081,22.4183,0.8335
1082,31.0422,0.9084
