# NDR-Restore GTAV-NightRain-set2 Evaluation Results,,,
,,,
# Model Information,,,
Model,NDR-Restore,,
Test Dataset,GTAV-NightRain-set2,,
,,,
# Overall Metrics,,,
Total Images,50,,
Average PSNR (dB),31.5602,,
Average SSIM,0.8827,,
,,,
# Per-Image Results,,,
Image Name,GT Name,PSNR (dB),SSIM
0000_00.png,0000.png,33.3364,0.9348
0001_00.png,0001.png,32.7481,0.8896
0002_00.png,0002.png,36.1544,0.9445
0003_00.png,0003.png,31.0421,0.9479
0004_00.png,0004.png,32.5125,0.9052
0005_00.png,0005.png,32.3124,0.9177
0006_00.png,0006.png,25.6805,0.6693
0007_00.png,0007.png,35.2172,0.9785
0008_00.png,0008.png,34.7082,0.9546
0009_00.png,0009.png,33.2859,0.8751
0010_00.png,0010.png,30.8526,0.8221
0011_00.png,0011.png,32.6662,0.8512
0012_00.png,0012.png,32.5656,0.8626
0013_00.png,0013.png,31.0597,0.8457
0014_00.png,0014.png,31.516,0.8084
0015_00.png,0015.png,32.9187,0.9015
0016_00.png,0016.png,31.3673,0.9679
0017_00.png,0017.png,31.4246,0.957
0018_00.png,0018.png,32.687,0.9356
0019_00.png,0019.png,33.9474,0.9454
0020_00.png,0020.png,28.6627,0.8059
0021_00.png,0021.png,31.9115,0.9346
0022_00.png,0022.png,31.3646,0.9125
0023_00.png,0023.png,28.3289,0.7762
0024_00.png,0024.png,31.1112,0.8996
0025_00.png,0025.png,30.8193,0.7764
0026_00.png,0026.png,32.4436,0.9101
0027_00.png,0027.png,33.477,0.9374
0028_00.png,0028.png,32.7693,0.8552
0029_00.png,0029.png,32.9161,0.8762
0030_00.png,0030.png,31.7803,0.9597
0031_00.png,0031.png,30.6714,0.9192
0032_00.png,0032.png,32.0461,0.9087
0033_00.png,0033.png,33.8451,0.907
0034_00.png,0034.png,31.5681,0.8667
0035_00.png,0035.png,33.8847,0.9159
0036_00.png,0036.png,34.1427,0.8938
0037_00.png,0037.png,29.2944,0.9405
0038_00.png,0038.png,32.8014,0.8724
0039_00.png,0039.png,31.2109,0.86
0040_00.png,0040.png,31.1227,0.8696
0041_00.png,0041.png,30.4722,0.9155
0042_00.png,0042.png,32.5136,0.8793
0043_00.png,0043.png,25.9732,0.7076
0044_00.png,0044.png,30.8069,0.8796
0045_00.png,0045.png,31.1134,0.9384
0046_00.png,0046.png,26.7664,0.8739
0047_00.png,0047.png,31.6227,0.9077
0048_00.png,0048.png,28.5508,0.9011
0049_00.png,0049.png,26.0167,0.6185
