# NDR-Restore GT-Rain Evaluation Results,,,
,,,
# Model Information,,,
Model,NDR-Restore,,
Test Dataset,GT-Rain,,
,,,
# Overall Metrics,,,
Total Images,2100,,
Average PSNR (dB),21.2411,,
Average SSIM,0.5948,,
,,,
# Per-Image Results,,,
Image Name,GT Name,PSNR (dB),SSIM
Gurutto_0-0-Webcam-R-000.png,Gurutto_0-0-Webcam-C-000.png,26.0109,0.7921
Gurutto_0-0-Webcam-R-001.png,Gurutto_0-0-Webcam-C-000.png,25.9534,0.7923
Gurutto_0-0-Webcam-R-002.png,Gurutto_0-0-Webcam-C-000.png,26.1565,0.7987
Gurutto_0-0-Webcam-R-003.png,Gurutto_0-0-Webcam-C-000.png,25.8268,0.7915
Gurutto_0-0-Webcam-R-004.png,Gurutto_0-0-Webcam-C-000.png,25.9802,0.7938
Gurutto_0-0-Webcam-R-005.png,Gurutto_0-0-Webcam-C-000.png,25.9375,0.7928
Gurutto_0-0-Webcam-R-006.png,Gurutto_0-0-Webcam-C-000.png,25.9393,0.7929
Gurutto_0-0-Webcam-R-007.png,Gurutto_0-0-Webcam-C-000.png,26.0022,0.7903
Gurutto_0-0-Webcam-R-008.png,Gurutto_0-0-Webcam-C-000.png,25.7467,0.7921
Gurutto_0-0-Webcam-R-009.png,Gurutto_0-0-Webcam-C-000.png,25.7176,0.7864
Gurutto_0-0-Webcam-R-010.png,Gurutto_0-0-Webcam-C-000.png,25.7328,0.7873
Gurutto_0-0-Webcam-R-011.png,Gurutto_0-0-Webcam-C-000.png,25.8983,0.7892
Gurutto_0-0-Webcam-R-012.png,Gurutto_0-0-Webcam-C-000.png,25.8987,0.7892
Gurutto_0-0-Webcam-R-013.png,Gurutto_0-0-Webcam-C-000.png,25.7754,0.7832
Gurutto_0-0-Webcam-R-014.png,Gurutto_0-0-Webcam-C-000.png,25.9566,0.7833
Gurutto_0-0-Webcam-R-015.png,Gurutto_0-0-Webcam-C-000.png,25.9034,0.7793
Gurutto_0-0-Webcam-R-016.png,Gurutto_0-0-Webcam-C-000.png,26.0328,0.7845
Gurutto_0-0-Webcam-R-017.png,Gurutto_0-0-Webcam-C-000.png,25.9715,0.7811
Gurutto_0-0-Webcam-R-018.png,Gurutto_0-0-Webcam-C-000.png,25.9724,0.7811
Gurutto_0-0-Webcam-R-019.png,Gurutto_0-0-Webcam-C-000.png,25.9358,0.779
Gurutto_0-0-Webcam-R-020.png,Gurutto_0-0-Webcam-C-000.png,25.8787,0.7759
Gurutto_0-0-Webcam-R-021.png,Gurutto_0-0-Webcam-C-000.png,25.8461,0.7759
Gurutto_0-0-Webcam-R-022.png,Gurutto_0-0-Webcam-C-000.png,25.5293,0.7725
Gurutto_0-0-Webcam-R-023.png,Gurutto_0-0-Webcam-C-000.png,25.8437,0.7717
Gurutto_0-0-Webcam-R-024.png,Gurutto_0-0-Webcam-C-000.png,25.8437,0.7717
Gurutto_0-0-Webcam-R-025.png,Gurutto_0-0-Webcam-C-000.png,25.6549,0.7661
Gurutto_0-0-Webcam-R-026.png,Gurutto_0-0-Webcam-C-000.png,25.8999,0.7773
Gurutto_0-0-Webcam-R-027.png,Gurutto_0-0-Webcam-C-000.png,25.925,0.7781
Gurutto_0-0-Webcam-R-028.png,Gurutto_0-0-Webcam-C-000.png,25.8729,0.7777
Gurutto_0-0-Webcam-R-029.png,Gurutto_0-0-Webcam-C-000.png,25.6495,0.775
Gurutto_0-0-Webcam-R-030.png,Gurutto_0-0-Webcam-C-000.png,25.6499,0.775
Gurutto_0-0-Webcam-R-031.png,Gurutto_0-0-Webcam-C-000.png,25.5645,0.7761
Gurutto_0-0-Webcam-R-032.png,Gurutto_0-0-Webcam-C-000.png,25.517,0.7716
Gurutto_0-0-Webcam-R-033.png,Gurutto_0-0-Webcam-C-000.png,25.8088,0.777
Gurutto_0-0-Webcam-R-034.png,Gurutto_0-0-Webcam-C-000.png,26.067,0.7818
Gurutto_0-0-Webcam-R-035.png,Gurutto_0-0-Webcam-C-000.png,25.9958,0.7765
Gurutto_0-0-Webcam-R-036.png,Gurutto_0-0-Webcam-C-000.png,25.9971,0.7766
Gurutto_0-0-Webcam-R-037.png,Gurutto_0-0-Webcam-C-000.png,25.7207,0.7718
Gurutto_0-0-Webcam-R-038.png,Gurutto_0-0-Webcam-C-000.png,26.0583,0.7786
Gurutto_0-0-Webcam-R-039.png,Gurutto_0-0-Webcam-C-000.png,25.9705,0.7749
Gurutto_0-0-Webcam-R-040.png,Gurutto_0-0-Webcam-C-000.png,25.925,0.7735
Gurutto_0-0-Webcam-R-041.png,Gurutto_0-0-Webcam-C-000.png,25.9163,0.7737
