# NDR-Restore Outdoor-Rain Evaluation Results,,,
,,,
# Model Information,,,
Model,NDR-Restore,,
Test Dataset,Outdoor-Rain,,
,,,
# Overall Metrics,,,
Total Images,9000,,
Average PSNR (dB),15.8696,,
Average SSIM,0.6363,,
,,,
# Per-Image Results,,,
Rainy Image Name,GT Name,PSNR (dB),SSIM
im_0001_s100_a04.png,im_0001.png,10.3725,0.5378
im_0001_s100_a05.png,im_0001.png,8.2094,0.465
im_0001_s100_a06.png,im_0001.png,9.7724,0.5888
im_0001_s80_a04.png,im_0001.png,9.1059,0.4293
im_0001_s80_a05.png,im_0001.png,12.036,0.721
im_0001_s80_a06.png,im_0001.png,10.5657,0.5533
im_0001_s85_a04.png,im_0001.png,11.9279,0.6954
im_0001_s85_a05.png,im_0001.png,8.6031,0.5139
im_0001_s85_a06.png,im_0001.png,8.9133,0.5054
im_0001_s90_a04.png,im_0001.png,9.7078,0.4848
im_0001_s90_a05.png,im_0001.png,10.8273,0.5776
im_0001_s90_a06.png,im_0001.png,8.5498,0.4923
im_0001_s95_a04.png,im_0001.png,8.6745,0.4904
im_0001_s95_a05.png,im_0001.png,8.9107,0.462
im_0001_s95_a06.png,im_0001.png,9.457,0.4826
im_0002_s100_a04.png,im_0002.png,18.4769,0.77
im_0002_s100_a05.png,im_0002.png,11.6018,0.6494
im_0002_s100_a06.png,im_0002.png,13.4442,0.779
im_0002_s80_a04.png,im_0002.png,9.6886,0.6307
im_0002_s80_a05.png,im_0002.png,14.2093,0.7806
im_0002_s80_a06.png,im_0002.png,10.6823,0.5465
im_0002_s85_a04.png,im_0002.png,19.5663,0.773
im_0002_s85_a05.png,im_0002.png,10.2817,0.6589
im_0002_s85_a06.png,im_0002.png,17.3778,0.8266
im_0002_s90_a04.png,im_0002.png,12.9065,0.7037
im_0002_s90_a05.png,im_0002.png,11.2096,0.5636
im_0002_s90_a06.png,im_0002.png,17.8488,0.661
im_0002_s95_a04.png,im_0002.png,19.1613,0.6699
im_0002_s95_a05.png,im_0002.png,22.158,0.7678
im_0002_s95_a06.png,im_0002.png,18.0705,0.8419
im_0003_s100_a04.png,im_0003.png,23.5072,0.7488
im_0003_s100_a05.png,im_0003.png,14.3898,0.6342
im_0003_s100_a06.png,im_0003.png,15.0489,0.6463
im_0003_s80_a04.png,im_0003.png,16.4315,0.5547
im_0003_s80_a05.png,im_0003.png,14.482,0.6896
im_0003_s80_a06.png,im_0003.png,21.1505,0.6704
im_0003_s85_a04.png,im_0003.png,21.1964,0.6595
im_0003_s85_a05.png,im_0003.png,16.2695,0.5438
im_0003_s85_a06.png,im_0003.png,23.1064,0.7416
im_0003_s90_a04.png,im_0003.png,14.964,0.5394
im_0003_s90_a05.png,im_0003.png,13.7864,0.504
im_0003_s90_a06.png,im_0003.png,17.2318,0.5539
im_0003_s95_a04.png,im_0003.png,14.427,0.6334
im_0003_s95_a05.png,im_0003.png,15.1609,0.5841
im_0003_s95_a06.png,im_0003.png,17.8051,0.7451
im_0004_s100_a04.png,im_0004.png,17.3017,0.7415
im_0004_s100_a05.png,im_0004.png,15.7988,0.6343
im_0004_s100_a06.png,im_0004.png,14.513,0.5946
im_0004_s80_a04.png,im_0004.png,16.765,0.7126
im_0004_s80_a05.png,im_0004.png,17.4679,0.5996
im_0004_s80_a06.png,im_0004.png,19.8373,0.7688
im_0004_s85_a04.png,im_0004.png,15.6753,0.749
im_0004_s85_a05.png,im_0004.png,16.7298,0.6754
im_0004_s85_a06.png,im_0004.png,15.6053,0.6982
im_0004_s90_a04.png,im_0004.png,19.1469,0.7216
im_0004_s90_a05.png,im_0004.png,15.0095,0.6512
im_0004_s90_a06.png,im_0004.png,17.053,0.611
im_0004_s95_a04.png,im_0004.png,18.71,0.6354
im_0004_s95_a05.png,im_0004.png,17.493,0.7817
im_0004_s95_a06.png,im_0004.png,15.5648,0.6362
im_0005_s100_a04.png,im_0005.png,10.5364,0.5518
im_0005_s100_a05.png,im_0005.png,9.8745,0.5212
im_0005_s100_a06.png,im_0005.png,13.8881,0.6054
im_0005_s80_a04.png,im_0005.png,20.1941,0.564
im_0005_s80_a05.png,im_0005.png,23.3953,0.7518
im_0005_s80_a06.png,im_0005.png,24.2957,0.7185
im_0005_s85_a04.png,im_0005.png,11.1932,0.549
im_0005_s85_a05.png,im_0005.png,11.4387,0.5625
im_0005_s85_a06.png,im_0005.png,13.2896,0.6586
im_0005_s90_a04.png,im_0005.png,12.2878,0.6062
im_0005_s90_a05.png,im_0005.png,12.3804,0.6294
im_0005_s90_a06.png,im_0005.png,11.8675,0.5558
im_0005_s95_a04.png,im_0005.png,12.7036,0.6319
im_0005_s95_a05.png,im_0005.png,12.135,0.7124
im_0005_s95_a06.png,im_0005.png,12.7057,0.6771
im_0006_s100_a04.png,im_0006.png,13.4433,0.4688
im_0006_s100_a05.png,im_0006.png,21.7692,0.6323
im_0006_s100_a06.png,im_0006.png,12.8786,0.4733
im_0006_s80_a04.png,im_0006.png,13.6086,0.5216
im_0006_s80_a05.png,im_0006.png,14.6462,0.4962
im_0006_s80_a06.png,im_0006.png,17.7473,0.5302
im_0006_s85_a04.png,im_0006.png,18.365,0.5449
im_0006_s85_a05.png,im_0006.png,24.6882,0.6988
im_0006_s85_a06.png,im_0006.png,15.7743,0.619
im_0006_s90_a04.png,im_0006.png,14.9465,0.5456
im_0006_s90_a05.png,im_0006.png,17.8368,0.502
im_0006_s90_a06.png,im_0006.png,18.578,0.6233
im_0006_s95_a04.png,im_0006.png,12.6744,0.5524
im_0006_s95_a05.png,im_0006.png,19.3481,0.5513
im_0006_s95_a06.png,im_0006.png,16.4944,0.6499
im_0007_s100_a04.png,im_0007.png,18.0514,0.6193
im_0007_s100_a05.png,im_0007.png,18.0172,0.6192
im_0007_s100_a06.png,im_0007.png,23.8635,0.6695
im_0007_s80_a04.png,im_0007.png,16.6617,0.6341
im_0007_s80_a05.png,im_0007.png,23.6286,0.7711
