# NDR-Restore RainDS_real Evaluation Results,,,,
,,,,
# Model Information,,,,
Model,NDR-Restore,,,
Test Dataset,RainDS_real,,,
,,,,
# Overall Metrics Summary,,,,
Rain Type,Image Count,Average PSNR (dB),Average SSIM,
Raindrop,98,19.6607,0.7084,
Rainstreak,98,24.1317,0.7637,
Rainstreak Raindrop,98,18.5635,0.6385,
Overall,294,20.7853,0.7035,
,,,,
# Per-Image Results,,,,
Image Name,GT Name,Rain Type,PSNR (dB),SSIM
101.png,101.png,raindrop,25.2354,0.8388
102.png,102.png,raindrop,25.5639,0.8295
107.png,107.png,raindrop,23.9615,0.8477
108.png,108.png,raindrop,21.7205,0.8244
113.png,113.png,raindrop,22.7373,0.841
114.png,114.png,raindrop,20.2886,0.8283
115.png,115.png,raindrop,25.1799,0.7596
118.png,118.png,raindrop,16.572,0.6246
121.png,121.png,raindrop,15.4366,0.6718
122.png,122.png,raindrop,19.8462,0.6894
123.png,123.png,raindrop,25.6956,0.8529
125.png,125.png,raindrop,18.9166,0.6932
126.png,126.png,raindrop,24.0597,0.6882
127.png,127.png,raindrop,20.4605,0.7286
13.png,13.png,raindrop,20.3453,0.7784
131.png,131.png,raindrop,22.2136,0.7806
132.png,132.png,raindrop,18.8798,0.7522
137.png,137.png,raindrop,22.8021,0.7769
138.png,138.png,raindrop,23.1301,0.8344
139.png,139.png,raindrop,23.4234,0.6875
14.png,14.png,raindrop,19.2314,0.781
144.png,144.png,raindrop,17.057,0.6363
145.png,145.png,raindrop,18.2247,0.7958
146.png,146.png,raindrop,18.5426,0.7802
148.png,148.png,raindrop,16.7452,0.6789
149.png,149.png,raindrop,17.8733,0.5525
150.png,150.png,raindrop,23.1806,0.7944
151.png,151.png,raindrop,19.4862,0.7316
152.png,152.png,raindrop,22.4112,0.768
155.png,155.png,raindrop,19.5086,0.7045
157.png,157.png,raindrop,18.4818,0.5936
158.png,158.png,raindrop,17.5936,0.7685
163.png,163.png,raindrop,21.3554,0.8222
164.png,164.png,raindrop,20.0344,0.8106
169.png,169.png,raindrop,21.2979,0.7909
170.png,170.png,raindrop,18.6401,0.7634
175.png,175.png,raindrop,18.1081,0.7637
176.png,176.png,raindrop,19.4529,0.649
181.png,181.png,raindrop,20.3112,0.6595
182.png,182.png,raindrop,20.6152,0.7672
187.png,187.png,raindrop,16.3672,0.604
188.png,188.png,raindrop,16.9018,0.4542
19.png,19.png,raindrop,16.2639,0.4297
193.png,193.png,raindrop,17.7264,0.673
194.png,194.png,raindrop,20.0009,0.7539
199.png,199.png,raindrop,19.5154,0.728
2.png,2.png,raindrop,19.1539,0.6917
20.png,20.png,raindrop,16.3064,0.4443
200.png,200.png,raindrop,22.0889,0.7172
205.png,205.png,raindrop,17.218,0.6283
206.png,206.png,raindrop,19.4471,0.652
207.png,207.png,raindrop,20.0747,0.7867
208.png,208.png,raindrop,20.9437,0.781
209.png,209.png,raindrop,17.3122,0.6888
210.png,210.png,raindrop,20.2552,0.796
211.png,211.png,raindrop,21.2076,0.775
212.png,212.png,raindrop,19.9285,0.7683
213.png,213.png,raindrop,21.2766,0.7903
214.png,214.png,raindrop,17.0012,0.5955
215.png,215.png,raindrop,18.5448,0.6799
216.png,216.png,raindrop,16.1457,0.6714
217.png,217.png,raindrop,15.8185,0.551
218.png,218.png,raindrop,22.2764,0.7478
25.png,25.png,raindrop,17.2073,0.3511
26.png,26.png,raindrop,14.5244,0.1458
30.png,30.png,raindrop,11.7309,0.545
32.png,32.png,raindrop,19.6344,0.7812
33.png,33.png,raindrop,22.216,0.8322
34.png,34.png,raindrop,18.7904,0.6649
35.png,35.png,raindrop,19.5456,0.5452
37.png,37.png,raindrop,13.7054,0.577
41.png,41.png,raindrop,19.5689,0.7721
42.png,42.png,raindrop,13.5479,0.7293
43.png,43.png,raindrop,16.2385,0.7411
44.png,44.png,raindrop,19.8557,0.7454
47.png,47.png,raindrop,21.1685,0.6597
50.png,50.png,raindrop,19.6584,0.7453
51.png,51.png,raindrop,19.7033,0.6845
52.png,52.png,raindrop,20.6174,0.7392
53.png,53.png,raindrop,19.5222,0.7819
58.png,58.png,raindrop,15.8494,0.5946
59.png,59.png,raindrop,21.9726,0.8038
6.png,6.png,raindrop,15.059,0.5605
64.png,64.png,raindrop,22.5718,0.7853
65.png,65.png,raindrop,22.0861,0.7866
66.png,66.png,raindrop,22.1893,0.7452
7.png,7.png,raindrop,15.0713,0.5783
71.png,71.png,raindrop,23.6434,0.8218
72.png,72.png,raindrop,23.7071,0.8561
77.png,77.png,raindrop,21.5312,0.8039
78.png,78.png,raindrop,20.3196,0.7983
8.png,8.png,raindrop,19.1041,0.6643
83.png,83.png,raindrop,21.537,0.6643
84.png,84.png,raindrop,17.1672,0.7222
89.png,89.png,raindrop,17.0374,0.2944
90.png,90.png,raindrop,22.7156,0.8435
95.png,95.png,raindrop,19.0897,0.8191
96.png,96.png,raindrop,22.4617,0.8937
101.png,101.png,rainstreak,27.6434,0.7385
102.png,102.png,rainstreak,29.529,0.8401
107.png,107.png,rainstreak,28.1127,0.834
108.png,108.png,rainstreak,25.2437,0.8752
113.png,113.png,rainstreak,24.1291,0.8609
114.png,114.png,rainstreak,30.3555,0.8975
