# NDR-Restore RainDS_syn Evaluation Results,,,,
,,,,
# Model Information,,,,
Model,NDR-Restore,,,
Test Dataset,RainDS_syn,,,
,,,,
# Overall Metrics Summary,,,,
Rain Type,Image Count,Average PSNR (dB),Average SSIM,
Raindrop,200,20.045,0.7713,
Rainstreak,200,22.4901,0.6714,
Rainstreak Raindrop,200,18.4167,0.5715,
Overall,600,20.3173,0.6714,
,,,,
# Per-Image Results,,,,
Image Name,GT Name,Rain Type,PSNR (dB),SSIM
pie-rd-100.png,pie-norain-100.png,raindrop,18.427,0.8027
pie-rd-104.png,pie-norain-104.png,raindrop,18.6889,0.8196
pie-rd-108.png,pie-norain-108.png,raindrop,18.8828,0.7937
pie-rd-109.png,pie-norain-109.png,raindrop,18.8792,0.7966
pie-rd-110.png,pie-norain-110.png,raindrop,19.3339,0.8205
pie-rd-113.png,pie-norain-113.png,raindrop,19.6267,0.8074
pie-rd-118.png,pie-norain-118.png,raindrop,19.5266,0.805
pie-rd-124.png,pie-norain-124.png,raindrop,18.4579,0.7919
pie-rd-128.png,pie-norain-128.png,raindrop,18.4465,0.7835
pie-rd-138.png,pie-norain-138.png,raindrop,19.5244,0.786
pie-rd-143.png,pie-norain-143.png,raindrop,19.642,0.8114
pie-rd-163.png,pie-norain-163.png,raindrop,18.0004,0.8162
pie-rd-173.png,pie-norain-173.png,raindrop,17.7132,0.8141
pie-rd-174.png,pie-norain-174.png,raindrop,17.9162,0.82
pie-rd-180.png,pie-norain-180.png,raindrop,17.9939,0.8217
pie-rd-182.png,pie-norain-182.png,raindrop,17.2227,0.811
pie-rd-19.png,pie-norain-19.png,raindrop,20.7165,0.8319
pie-rd-212.png,pie-norain-212.png,raindrop,18.5319,0.8261
pie-rd-213.png,pie-norain-213.png,raindrop,18.5083,0.8273
pie-rd-216.png,pie-norain-216.png,raindrop,18.6625,0.8309
pie-rd-223.png,pie-norain-223.png,raindrop,18.2493,0.8122
pie-rd-225.png,pie-norain-225.png,raindrop,18.4552,0.8192
pie-rd-228.png,pie-norain-228.png,raindrop,18.4522,0.8206
pie-rd-229.png,pie-norain-229.png,raindrop,18.3783,0.8149
pie-rd-234.png,pie-norain-234.png,raindrop,21.0563,0.8834
pie-rd-236.png,pie-norain-236.png,raindrop,21.1054,0.8854
pie-rd-237.png,pie-norain-237.png,raindrop,21.0638,0.8849
pie-rd-264.png,pie-norain-264.png,raindrop,22.6756,0.9306
pie-rd-268.png,pie-norain-268.png,raindrop,23.3052,0.9244
pie-rd-28.png,pie-norain-28.png,raindrop,20.4575,0.8255
pie-rd-299.png,pie-norain-299.png,raindrop,21.3821,0.886
pie-rd-306.png,pie-norain-306.png,raindrop,22.2638,0.9125
pie-rd-308.png,pie-norain-308.png,raindrop,22.5748,0.9168
pie-rd-311.png,pie-norain-311.png,raindrop,23.4273,0.9139
pie-rd-313.png,pie-norain-313.png,raindrop,23.4997,0.9187
pie-rd-323.png,pie-norain-323.png,raindrop,22.7252,0.8918
pie-rd-326.png,pie-norain-326.png,raindrop,22.7426,0.8957
pie-rd-332.png,pie-norain-332.png,raindrop,22.8987,0.888
pie-rd-343.png,pie-norain-343.png,raindrop,23.2206,0.8975
pie-rd-344.png,pie-norain-344.png,raindrop,22.6812,0.8916
pie-rd-349.png,pie-norain-349.png,raindrop,22.2949,0.8873
pie-rd-35.png,pie-norain-35.png,raindrop,20.198,0.8191
pie-rd-353.png,pie-norain-353.png,raindrop,23.329,0.8973
pie-rd-355.png,pie-norain-355.png,raindrop,22.5747,0.8913
pie-rd-36.png,pie-norain-36.png,raindrop,20.3767,0.8245
pie-rd-37.png,pie-norain-37.png,raindrop,20.5256,0.8283
pie-rd-374.png,pie-norain-374.png,raindrop,21.5489,0.8476
pie-rd-380.png,pie-norain-380.png,raindrop,21.8788,0.854
pie-rd-381.png,pie-norain-381.png,raindrop,20.8152,0.8422
pie-rd-383.png,pie-norain-383.png,raindrop,20.3691,0.8367
pie-rd-389.png,pie-norain-389.png,raindrop,20.1593,0.8445
pie-rd-391.png,pie-norain-391.png,raindrop,19.9946,0.8419
pie-rd-393.png,pie-norain-393.png,raindrop,19.9364,0.841
pie-rd-4.png,pie-norain-4.png,raindrop,20.8427,0.821
pie-rd-406.png,pie-norain-406.png,raindrop,20.4659,0.8478
pie-rd-408.png,pie-norain-408.png,raindrop,20.4692,0.8481
pie-rd-416.png,pie-norain-416.png,raindrop,20.783,0.8618
pie-rd-418.png,pie-norain-418.png,raindrop,20.7998,0.8553
pie-rd-424.png,pie-norain-424.png,raindrop,19.3244,0.783
pie-rd-43.png,pie-norain-43.png,raindrop,20.3992,0.8305
pie-rd-431.png,pie-norain-431.png,raindrop,19.2755,0.7884
pie-rd-439.png,pie-norain-439.png,raindrop,18.5913,0.7821
pie-rd-445.png,pie-norain-445.png,raindrop,19.4047,0.7963
pie-rd-447.png,pie-norain-447.png,raindrop,19.6179,0.8006
pie-rd-449.png,pie-norain-449.png,raindrop,19.7297,0.8043
pie-rd-453.png,pie-norain-453.png,raindrop,19.818,0.8075
pie-rd-460.png,pie-norain-460.png,raindrop,19.4487,0.7997
pie-rd-461.png,pie-norain-461.png,raindrop,19.7661,0.8076
pie-rd-482.png,pie-norain-482.png,raindrop,19.6745,0.8153
pie-rd-483.png,pie-norain-483.png,raindrop,19.5307,0.8126
pie-rd-487.png,pie-norain-487.png,raindrop,19.5904,0.8189
pie-rd-501.png,pie-norain-501.png,raindrop,19.7833,0.8065
pie-rd-507.png,pie-norain-507.png,raindrop,20.2529,0.8184
pie-rd-510.png,pie-norain-510.png,raindrop,19.4567,0.8147
pie-rd-513.png,pie-norain-513.png,raindrop,19.9554,0.821
