# NDR-Restore RealRain-1k-H Evaluation Results,,,
,,,
# Model Information,,,
Model,NDR-Restore,,
Test Dataset,RealRain-1k-H,,
,,,
# Overall Metrics,,,
Total Images,224,,
Average PSNR (dB),22.0523,,
Average SSIM,0.6931,,
,,,
# Per-Image Results,,,
Image Name,GT Name,PSNR (dB),SSIM
2.png,2.png,15.1723,0.6729
7.png,7.png,22.9579,0.8652
9.png,9.png,24.0876,0.7417
15.png,15.png,18.1518,0.5079
17.png,17.png,23.2272,0.8557
18.png,18.png,28.3203,0.9538
25.png,25.png,30.1646,0.9227
34.png,34.png,18.9885,0.6944
35.png,35.png,15.2424,0.6517
36.png,36.png,26.7004,0.78
37.png,37.png,32.0091,0.8589
39.png,39.png,20.0784,0.7621
40.png,40.png,17.2033,0.8428
45.png,45.png,22.4465,0.8178
47.png,47.png,18.0561,0.7104
50.png,50.png,24.5935,0.9405
52.png,52.png,16.6852,0.6309
54.png,54.png,28.4332,0.907
58.png,58.png,22.229,0.7746
61.png,61.png,29.9162,0.9036
65.png,65.png,32.1779,0.9205
70.png,70.png,24.7995,0.8269
72.png,72.png,24.2769,0.8127
78.png,78.png,22.0177,0.777
79.png,79.png,21.1591,0.7442
87.png,87.png,16.6348,0.8111
94.png,94.png,20.7439,0.7418
95.png,95.png,28.625,0.9165
96.png,96.png,31.6613,0.7639
102.png,102.png,21.4936,0.7607
106.png,106.png,28.1094,0.8875
107.png,107.png,24.3077,0.9126
110.png,110.png,29.6498,0.9226
114.png,114.png,32.2537,0.9272
115.png,115.png,29.4419,0.847
120.png,120.png,21.4394,0.7271
122.png,122.png,21.1606,0.5664
134.png,134.png,20.3647,0.7597
136.png,136.png,23.3288,0.7501
141.png,141.png,22.4584,0.7561
152.png,152.png,23.0157,0.5248
153.png,153.png,20.6548,0.4785
170.png,170.png,30.4432,0.9155
173.png,173.png,27.3951,0.7676
178.png,178.png,24.6025,0.7972
180.png,180.png,20.5996,0.6113
181.png,181.png,30.1624,0.918
187.png,187.png,23.2876,0.8282
188.png,188.png,16.6159,0.7162
189.png,189.png,29.2514,0.8871
195.png,195.png,27.7664,0.6922
