# NDR-Restore RealRain-1k-L Evaluation Results,,,
,,,
# Model Information,,,
Model,NDR-Restore,,
Test Dataset,RealRain-1k-L,,
,,,
# Overall Metrics,,,
Total Images,224,,
Average PSNR (dB),23.8076,,
Average SSIM,0.7667,,
,,,
# Per-Image Results,,,
Image Name,GT Name,PSNR (dB),SSIM
2.png,2.png,16.0675,0.7326
7.png,7.png,25.8542,0.9151
9.png,9.png,22.418,0.7581
15.png,15.png,17.9641,0.6066
17.png,17.png,25.7556,0.8946
18.png,18.png,30.1078,0.9657
25.png,25.png,29.3137,0.9389
34.png,34.png,24.2671,0.8209
35.png,35.png,18.1947,0.7506
36.png,36.png,33.4793,0.9323
37.png,37.png,31.4189,0.8406
39.png,39.png,25.0213,0.8655
40.png,40.png,17.2794,0.8805
45.png,45.png,22.744,0.8404
47.png,47.png,18.5717,0.7761
50.png,50.png,26.6939,0.9557
52.png,52.png,19.6275,0.7605
54.png,54.png,31.3181,0.9411
58.png,58.png,25.9175,0.8726
61.png,61.png,30.6799,0.9365
65.png,65.png,33.4426,0.9378
70.png,70.png,26.7255,0.8533
72.png,72.png,26.3236,0.8324
78.png,78.png,22.197,0.8022
79.png,79.png,24.3322,0.856
87.png,87.png,16.7514,0.8309
94.png,94.png,20.5037,0.8183
95.png,95.png,28.3501,0.928
96.png,96.png,32.0455,0.7681
102.png,102.png,21.1685,0.8357
106.png,106.png,24.8741,0.8134
107.png,107.png,26.0265,0.9208
110.png,110.png,32.4962,0.952
114.png,114.png,33.1918,0.9495
115.png,115.png,27.9318,0.8546
120.png,120.png,20.502,0.6494
122.png,122.png,23.8151,0.6639
134.png,134.png,20.1755,0.7937
136.png,136.png,30.3408,0.9123
141.png,141.png,25.493,0.8297
152.png,152.png,23.8566,0.6251
153.png,153.png,21.7739,0.5446
170.png,170.png,30.4181,0.944
173.png,173.png,33.2222,0.9305
178.png,178.png,33.0785,0.9169
180.png,180.png,21.8653,0.6395
181.png,181.png,33.5611,0.9533
187.png,187.png,23.7928,0.7289
188.png,188.png,16.8597,0.7308
189.png,189.png,29.7793,0.9174
195.png,195.png,36.9029,0.9645
197.png,197.png,24.7435,0.8248
198.png,198.png,33.943,0.9509
200.png,200.png,22.4416,0.5242
221.png,221.png,16.9614,0.6071
231.png,231.png,21.0745,0.5291
232.png,232.png,22.1373,0.6501
252.png,252.png,21.203,0.619
257.png,257.png,25.3727,0.8694
261.png,261.png,19.1637,0.4571
262.png,262.png,30.937,0.9338
264.png,264.png,27.0238,0.893
268.png,268.png,18.8545,0.4885
287.png,287.png,28.699,0.8701
290.png,290.png,24.2409,0.9028
311.png,311.png,26.155,0.5956
313.png,313.png,37.7303,0.9659
338.png,338.png,17.9618,0.6323
345.png,345.png,15.1488,0.3902
346.png,346.png,16.5272,0.4863
348.png,348.png,17.6362,0.3216
356.png,356.png,19.3763,0.6139
367.png,367.png,11.3084,0.4735
368.png,368.png,22.873,0.8299
378.png,378.png,13.5302,0.6612
381.png,381.png,16.1417,0.579
382.png,382.png,12.9049,0.607
389.png,389.png,12.8013,0.5833
399.png,399.png,8.246,0.2311
403.png,403.png,12.0384,0.3298
404.png,404.png,13.4144,0.6603
407.png,407.png,17.6422,0.4621
410.png,410.png,14.3159,0.343
412.png,412.png,6.7525,0.1107
425.png,425.png,22.1964,0.7269
429.png,429.png,24.6506,0.7885
451.png,451.png,26.588,0.9009
465.png,465.png,23.5742,0.724
472.png,472.png,22.4056,0.7807
479.png,479.png,28.0147,0.916
481.png,481.png,30.7322,0.9645
485.png,485.png,23.4749,0.7697
495.png,495.png,30.5743,0.9551
497.png,497.png,20.1484,0.8407
499.png,499.png,32.2889,0.9556
502.png,502.png,32.575,0.965
524.png,524.png,19.2032,0.8002
525.png,525.png,19.9383,0.7011
528.png,528.png,24.3149,0.8023
529.png,529.png,28.2168,0.8748
540.png,540.png,23.1097,0.8934
548.png,548.png,16.9129,0.7328
551.png,551.png,24.6104,0.7815
565.png,565.png,23.754,0.7961
566.png,566.png,24.5699,0.8242
569.png,569.png,21.5167,0.7462
576.png,576.png,19.2995,0.7367
578.png,578.png,24.5298,0.884
584.png,584.png,24.7879,0.8534
587.png,587.png,30.5624,0.9461
588.png,588.png,18.0048,0.8013
596.png,596.png,23.5781,0.7589
598.png,598.png,11.3809,0.727
602.png,602.png,24.8474,0.7812
614.png,614.png,25.5914,0.8297
622.png,622.png,19.9869,0.7604
628.png,628.png,29.0159,0.8378
636.png,636.png,25.2309,0.8539
637.png,637.png,26.7569,0.8618
642.png,642.png,15.4664,0.2672
643.png,643.png,8.146,0.296
645.png,645.png,12.7451,0.5824
661.png,661.png,12.1614,0.2744
665.png,665.png,22.2118,0.7256
666.png,666.png,26.3372,0.9061
668.png,668.png,31.3156,0.9681
671.png,671.png,23.8608,0.8915
674.png,674.png,27.01,0.8239
678.png,678.png,18.7472,0.4458
682.png,682.png,28.2474,0.939
689.png,689.png,29.0685,0.9121
690.png,690.png,12.5144,0.5274
702.png,702.png,20.1571,0.788
706.png,706.png,28.0871,0.943
711.png,711.png,8.4653,0.4437
716.png,716.png,17.7694,0.8323
719.png,719.png,23.9059,0.806
720.png,720.png,28.3675,0.8665
721.png,721.png,30.5926,0.9003
727.png,727.png,31.5325,0.932
729.png,729.png,22.9142,0.7914
732.png,732.png,20.8483,0.799
742.png,742.png,15.093,0.6316
744.png,744.png,30.2558,0.9478
751.png,751.png,26.6571,0.8091
752.png,752.png,29.9799,0.9419
755.png,755.png,29.1808,0.93
756.png,756.png,30.2338,0.9513
759.png,759.png,27.3463,0.8724
762.png,762.png,27.3859,0.9226
