# Outdoor-Rain Evaluation Results
# Generated:,2026-02-22 01:49:40
# Note: GT images resized to match result dimensions

# Model Information
Model,UNet_RLP_RPIM
Test Dataset,Outdoor-Rain
Results Directory,./experiments/deraining/GTRain/UNet_RLP_RPIM_/results\UNet_RLP_RPIM\Outdoor-Rain
GT Directory,./data/Outdoor/gt

# Overall Metrics
Total Images,9000
Processed Images,9000
Failed Images,0
Average PSNR (dB),15.7293
Average SSIM,0.6052

# Per-Image Results
Image Name,PSNR (dB),SSIM
im_0001_s100_a04.png,15.1653,0.5807
im_0001_s100_a05.png,11.6527,0.5487
im_0001_s100_a06.png,13.7307,0.6114
im_0001_s80_a04.png,12.4115,0.4484
im_0001_s80_a05.png,15.3373,0.6507
im_0001_s80_a06.png,14.4601,0.5339
im_0001_s85_a04.png,15.3250,0.6113
im_0001_s85_a05.png,13.0044,0.6089
im_0001_s85_a06.png,13.3596,0.5955
im_0001_s90_a04.png,14.3582,0.5687
im_0001_s90_a05.png,13.2578,0.5273
im_0001_s90_a06.png,12.2724,0.5727
im_0001_s95_a04.png,11.8487,0.5449
im_0001_s95_a05.png,13.7193,0.5616
im_0001_s95_a06.png,14.1520,0.5643
im_0002_s100_a04.png,14.9184,0.7052
im_0002_s100_a05.png,16.2097,0.6703
im_0002_s100_a06.png,16.7563,0.7470
im_0002_s80_a04.png,15.6618,0.7405
im_0002_s80_a05.png,17.3303,0.7490
im_0002_s80_a06.png,15.6693,0.6348
im_0002_s85_a04.png,18.0200,0.7204
im_0002_s85_a05.png,15.6885,0.7192
im_0002_s85_a06.png,18.6255,0.7626
im_0002_s90_a04.png,16.6788,0.6793
im_0002_s90_a05.png,16.0970,0.6342
im_0002_s90_a06.png,14.3199,0.6090
im_0002_s95_a04.png,14.6434,0.6095
im_0002_s95_a05.png,14.7802,0.6760
im_0002_s95_a06.png,19.0249,0.7785
im_0003_s100_a04.png,13.9300,0.5729
im_0003_s100_a05.png,16.3800,0.5826
im_0003_s100_a06.png,17.4609,0.5995
im_0003_s80_a04.png,14.7549,0.4808
im_0003_s80_a05.png,16.5605,0.6106
im_0003_s80_a06.png,13.4731,0.5005
im_0003_s85_a04.png,12.6312,0.4954
im_0003_s85_a05.png,16.0556,0.4989
im_0003_s85_a06.png,12.3459,0.5353
im_0003_s90_a04.png,15.4349,0.4759
im_0003_s90_a05.png,15.8199,0.4739
im_0003_s90_a06.png,15.0596,0.4587
im_0003_s95_a04.png,16.6582,0.5782
im_0003_s95_a05.png,15.7283,0.5161
im_0003_s95_a06.png,15.6851,0.5884
im_0004_s100_a04.png,14.7072,0.6240
im_0004_s100_a05.png,13.9905,0.5550
im_0004_s100_a06.png,15.3974,0.5909
im_0004_s80_a04.png,13.8836,0.5928
im_0004_s80_a05.png,12.8077,0.5302
im_0004_s80_a06.png,13.3252,0.6179
im_0004_s85_a04.png,14.5398,0.6284
im_0004_s85_a05.png,13.9710,0.5646
im_0004_s85_a06.png,14.8720,0.5986
im_0004_s90_a04.png,12.8417,0.5790
im_0004_s90_a05.png,14.5448,0.5625
im_0004_s90_a06.png,14.4513,0.5365
im_0004_s95_a04.png,14.3868,0.5562
im_0004_s95_a05.png,14.0479,0.6346
im_0004_s95_a06.png,13.9692,0.5606
im_0005_s100_a04.png,15.2110,0.6506
im_0005_s100_a05.png,13.5599,0.6030
im_0005_s100_a06.png,17.2799,0.5862
im_0005_s80_a04.png,13.4936,0.5925
im_0005_s80_a05.png,14.7782,0.6861
im_0005_s80_a06.png,14.5098,0.6720
im_0005_s85_a04.png,16.0249,0.6239
im_0005_s85_a05.png,15.5718,0.6308
im_0005_s85_a06.png,17.6203,0.6642
im_0005_s90_a04.png,16.3987,0.6492
im_0005_s90_a05.png,16.3611,0.6322
im_0005_s90_a06.png,16.3363,0.6053
im_0005_s95_a04.png,16.2071,0.6210
im_0005_s95_a05.png,17.2145,0.7743
im_0005_s95_a06.png,16.6864,0.6779
im_0006_s100_a04.png,19.1197,0.5926
im_0006_s100_a05.png,8.7000,0.4334
im_0006_s100_a06.png,18.4988,0.6070
im_0006_s80_a04.png,19.2351,0.6349
im_0006_s80_a05.png,18.3750,0.5596
im_0006_s80_a06.png,13.8749,0.4469
im_0006_s85_a04.png,10.0414,0.4185
im_0006_s85_a05.png,11.9586,0.5226
im_0006_s85_a06.png,16.6637,0.5464
im_0006_s90_a04.png,20.0488,0.5921
im_0006_s90_a05.png,10.8793,0.4198
im_0006_s90_a06.png,15.9356,0.5211
im_0006_s95_a04.png,19.0882,0.6871
im_0006_s95_a05.png,12.9111,0.4361
im_0006_s95_a06.png,14.8696,0.5393
im_0007_s100_a04.png,20.4051,0.5995
im_0007_s100_a05.png,15.0936,0.5871
im_0007_s100_a06.png,17.0609,0.6163
im_0007_s80_a04.png,21.2124,0.6314
im_0007_s80_a05.png,16.0492,0.6915
im_0007_s80_a06.png,15.4950,0.6717
im_0007_s85_a04.png,18.7297,0.5879
im_0007_s85_a05.png,18.5923,0.6343
im_0007_s85_a06.png,21.4522,0.6721
im_0007_s90_a04.png,21.5426,0.7308
im_0007_s90_a05.png,17.3808,0.5330
im_0007_s90_a06.png,18.5361,0.6258
im_0007_s95_a04.png,18.2409,0.5609
im_0007_s95_a05.png,20.6168,0.6884
im_0007_s95_a06.png,18.7739,0.5789
im_0008_s100_a04.png,17.6714,0.5736
im_0008_s100_a05.png,18.2669,0.5878
im_0008_s100_a06.png,13.1348,0.5647
im_0008_s80_a04.png,13.0524,0.5621
im_0008_s80_a05.png,12.4997,0.6152
im_0008_s80_a06.png,11.0010,0.5442
im_0008_s85_a04.png,16.6329,0.5757
im_0008_s85_a05.png,17.6599,0.6439
im_0008_s85_a06.png,18.4356,0.6249
im_0008_s90_a04.png,18.6068,0.6410
im_0008_s90_a05.png,15.7946,0.5430
im_0008_s90_a06.png,17.3573,0.5642
im_0008_s95_a04.png,17.4172,0.5730
im_0008_s95_a05.png,17.6027,0.6043
im_0008_s95_a06.png,10.0944,0.4971
im_0009_s100_a04.png,12.2899,0.4407
im_0009_s100_a05.png,18.0598,0.5997
im_0009_s100_a06.png,19.2997,0.6494
im_0009_s80_a04.png,18.8785,0.6519
im_0009_s80_a05.png,12.8940,0.3949
im_0009_s80_a06.png,13.1672,0.3787
im_0009_s85_a04.png,12.7563,0.4701
im_0009_s85_a05.png,18.9968,0.6696
im_0009_s85_a06.png,11.2448,0.4304
im_0009_s90_a04.png,18.8583,0.6667
im_0009_s90_a05.png,18.5737,0.6288
im_0009_s90_a06.png,17.6076,0.5950
im_0009_s95_a04.png,13.9725,0.4917
im_0009_s95_a05.png,14.1868,0.4836
im_0009_s95_a06.png,12.7421,0.4737
im_0010_s100_a04.png,14.4078,0.6204
im_0010_s100_a05.png,19.4667,0.6774
im_0010_s100_a06.png,19.1729,0.6683
im_0010_s80_a04.png,19.5297,0.6154
im_0010_s80_a05.png,19.3863,0.6222
im_0010_s80_a06.png,17.7022,0.5831
im_0010_s85_a04.png,19.2145,0.5701
im_0010_s85_a05.png,17.1377,0.5131
im_0010_s85_a06.png,18.0190,0.5947
im_0010_s90_a04.png,17.6461,0.5675
im_0010_s90_a05.png,16.5133,0.5198
im_0010_s90_a06.png,15.9231,0.5028
im_0010_s95_a04.png,18.2998,0.5963
im_0010_s95_a05.png,20.0293,0.6951
im_0010_s95_a06.png,18.2879,0.6219
im_0011_s100_a04.png,14.2799,0.6212
im_0011_s100_a05.png,10.0168,0.5102
im_0011_s100_a06.png,7.3152,0.4436
im_0011_s80_a04.png,14.5212,0.5878
im_0011_s80_a05.png,10.8792,0.5108
im_0011_s80_a06.png,14.2992,0.5865
im_0011_s85_a04.png,6.9652,0.4636
im_0011_s85_a05.png,14.5931,0.6142
im_0011_s85_a06.png,10.9534,0.5263
im_0011_s90_a04.png,14.2745,0.5536
im_0011_s90_a05.png,14.7214,0.6213
im_0011_s90_a06.png,14.4110,0.5943
im_0011_s95_a04.png,14.5976,0.5724
im_0011_s95_a05.png,14.6065,0.6077
im_0011_s95_a06.png,14.2781,0.5380
im_0012_s100_a04.png,19.1863,0.6457
im_0012_s100_a05.png,16.8801,0.6212
im_0012_s100_a06.png,13.3565,0.5284
im_0012_s80_a04.png,17.1289,0.5482
im_0012_s80_a05.png,14.1481,0.6266
im_0012_s80_a06.png,17.9177,0.6510
im_0012_s85_a04.png,18.4100,0.7243
im_0012_s85_a05.png,18.2870,0.6834
im_0012_s85_a06.png,18.3260,0.6921
im_0012_s90_a04.png,11.6585,0.5659
im_0012_s90_a05.png,18.7269,0.5844
im_0012_s90_a06.png,18.5770,0.7251
im_0012_s95_a04.png,16.4977,0.6742
im_0012_s95_a05.png,17.1812,0.6080
im_0012_s95_a06.png,13.5186,0.5322
im_0013_s100_a04.png,18.4840,0.5779
im_0013_s100_a05.png,17.4057,0.6354
im_0013_s100_a06.png,16.3649,0.5198
im_0013_s80_a04.png,19.0152,0.7046
im_0013_s80_a05.png,19.7058,0.7301
im_0013_s80_a06.png,17.2550,0.5929
im_0013_s85_a04.png,19.2936,0.7023
im_0013_s85_a05.png,18.3291,0.5987
im_0013_s85_a06.png,12.9661,0.5996
im_0013_s90_a04.png,17.6238,0.5414
im_0013_s90_a05.png,14.9490,0.5743
im_0013_s90_a06.png,17.2218,0.5306
im_0013_s95_a04.png,17.7535,0.6079
im_0013_s95_a05.png,18.4771,0.5668
im_0013_s95_a06.png,12.7022,0.5365
im_0014_s100_a04.png,18.8255,0.6243
im_0014_s100_a05.png,19.1413,0.6155
im_0014_s100_a06.png,18.4354,0.5800
im_0014_s80_a04.png,19.1021,0.6173
im_0014_s80_a05.png,14.9444,0.5466
im_0014_s80_a06.png,19.3214,0.6689
im_0014_s85_a04.png,18.8121,0.6642
im_0014_s85_a05.png,18.4960,0.5283
im_0014_s85_a06.png,19.9061,0.5384
im_0014_s90_a04.png,19.1353,0.6205
im_0014_s90_a05.png,17.7980,0.5023
im_0014_s90_a06.png,19.1146,0.6301
im_0014_s95_a04.png,19.5690,0.5271
im_0014_s95_a05.png,18.9042,0.6321
im_0014_s95_a06.png,17.8318,0.6264
im_0015_s100_a04.png,17.5705,0.6419
im_0015_s100_a05.png,17.0988,0.6746
im_0015_s100_a06.png,13.1317,0.5812
im_0015_s80_a04.png,16.1882,0.5875
im_0015_s80_a05.png,16.7892,0.6693
im_0015_s80_a06.png,13.9364,0.6009
im_0015_s85_a04.png,16.3160,0.6201
im_0015_s85_a05.png,13.6868,0.5706
im_0015_s85_a06.png,17.0724,0.5683
im_0015_s90_a04.png,16.7903,0.6063
im_0015_s90_a05.png,15.8554,0.5876
im_0015_s90_a06.png,11.4959,0.5103
im_0015_s95_a04.png,16.4451,0.6107
im_0015_s95_a05.png,14.9590,0.6543
im_0015_s95_a06.png,15.5276,0.5986
im_0016_s100_a04.png,12.8706,0.5355
im_0016_s100_a05.png,18.5432,0.6596
im_0016_s100_a06.png,15.1810,0.5664
im_0016_s80_a04.png,12.1201,0.5127
im_0016_s80_a05.png,15.7582,0.5791
im_0016_s80_a06.png,16.6122,0.6393
im_0016_s85_a04.png,18.7194,0.6912
im_0016_s85_a05.png,13.5083,0.5299
im_0016_s85_a06.png,17.1177,0.5291
im_0016_s90_a04.png,16.8047,0.6456
im_0016_s90_a05.png,17.3648,0.5521
im_0016_s90_a06.png,16.0700,0.5304
im_0016_s95_a04.png,14.4360,0.5579
im_0016_s95_a05.png,18.8864,0.6333
im_0016_s95_a06.png,11.0269,0.5542
im_0017_s100_a04.png,20.7866,0.7526
im_0017_s100_a05.png,16.5319,0.6150
im_0017_s100_a06.png,17.8776,0.6531
im_0017_s80_a04.png,16.3804,0.5459
im_0017_s80_a05.png,16.0242,0.6968
im_0017_s80_a06.png,16.7713,0.6192
im_0017_s85_a04.png,20.2134,0.7537
im_0017_s85_a05.png,17.6560,0.6157
im_0017_s85_a06.png,14.5807,0.5214
im_0017_s90_a04.png,18.3848,0.7138
im_0017_s90_a05.png,20.1009,0.6936
im_0017_s90_a06.png,19.3157,0.5241
im_0017_s95_a04.png,16.8057,0.5920
im_0017_s95_a05.png,18.0552,0.6819
im_0017_s95_a06.png,13.6972,0.5512
im_0018_s100_a04.png,11.5047,0.5751
im_0018_s100_a05.png,12.0544,0.5629
im_0018_s100_a06.png,11.6506,0.6357
im_0018_s80_a04.png,13.1139,0.5999
im_0018_s80_a05.png,10.8637,0.6673
im_0018_s80_a06.png,11.8504,0.6293
im_0018_s85_a04.png,14.1319,0.5358
im_0018_s85_a05.png,12.7981,0.6276
im_0018_s85_a06.png,13.5954,0.5776
im_0018_s90_a04.png,14.1329,0.5953
im_0018_s90_a05.png,12.4886,0.5369
im_0018_s90_a06.png,12.8298,0.4855
im_0018_s95_a04.png,12.0433,0.5878
im_0018_s95_a05.png,14.0696,0.6236
im_0018_s95_a06.png,15.4287,0.6551
im_0019_s100_a04.png,19.4287,0.7360
im_0019_s100_a05.png,17.6084,0.7278
im_0019_s100_a06.png,20.0836,0.7046
im_0019_s80_a04.png,19.4059,0.6854
im_0019_s80_a05.png,17.1902,0.6765
im_0019_s80_a06.png,20.1462,0.7583
im_0019_s85_a04.png,17.4643,0.6530
im_0019_s85_a05.png,18.0610,0.6515
im_0019_s85_a06.png,17.7824,0.6622
im_0019_s90_a04.png,19.5111,0.6753
im_0019_s90_a05.png,16.9211,0.6488
im_0019_s90_a06.png,17.2202,0.7058
im_0019_s95_a04.png,17.0386,0.6966
im_0019_s95_a05.png,16.2420,0.6421
im_0019_s95_a06.png,16.7684,0.6154
im_0020_s100_a04.png,11.7522,0.6600
im_0020_s100_a05.png,13.1590,0.6078
im_0020_s100_a06.png,12.0981,0.6092
im_0020_s80_a04.png,13.1523,0.6003
im_0020_s80_a05.png,11.3617,0.6147
im_0020_s80_a06.png,15.6421,0.6861
im_0020_s85_a04.png,14.1792,0.6530
im_0020_s85_a05.png,16.3606,0.7105
im_0020_s85_a06.png,10.4797,0.5641
im_0020_s90_a04.png,13.2746,0.5925
im_0020_s90_a05.png,11.0272,0.5681
im_0020_s90_a06.png,13.5333,0.6786
im_0020_s95_a04.png,12.5425,0.5981
im_0020_s95_a05.png,11.1718,0.6114
im_0020_s95_a06.png,15.1538,0.6950
im_0021_s100_a04.png,11.5626,0.6260
im_0021_s100_a05.png,17.3461,0.5899
im_0021_s100_a06.png,15.3445,0.6101
im_0021_s80_a04.png,17.3422,0.6017
im_0021_s80_a05.png,13.1385,0.5855
im_0021_s80_a06.png,11.6066,0.5981
im_0021_s85_a04.png,17.8835,0.6541
im_0021_s85_a05.png,16.4014,0.6029
im_0021_s85_a06.png,17.5370,0.5439
im_0021_s90_a04.png,16.7170,0.5540
im_0021_s90_a05.png,16.2530,0.5840
im_0021_s90_a06.png,17.7180,0.5797
im_0021_s95_a04.png,15.5660,0.6909
im_0021_s95_a05.png,16.7494,0.6522
im_0021_s95_a06.png,16.5442,0.6014
im_0022_s100_a04.png,18.6379,0.6869
im_0022_s100_a05.png,18.0813,0.5742
im_0022_s100_a06.png,18.1962,0.5556
im_0022_s80_a04.png,14.1912,0.6228
im_0022_s80_a05.png,19.6278,0.7350
im_0022_s80_a06.png,14.5110,0.6293
im_0022_s85_a04.png,16.7086,0.5162
im_0022_s85_a05.png,18.1115,0.5727
im_0022_s85_a06.png,18.7884,0.6894
im_0022_s90_a04.png,18.7893,0.6660
im_0022_s90_a05.png,18.3703,0.6239
im_0022_s90_a06.png,17.9904,0.5599
im_0022_s95_a04.png,18.4975,0.6036
im_0022_s95_a05.png,15.5715,0.6008
im_0022_s95_a06.png,15.1028,0.6243
im_0023_s100_a04.png,16.7923,0.6352
im_0023_s100_a05.png,12.9990,0.4538
im_0023_s100_a06.png,15.7301,0.6092
