# RLP Evaluation Results - RainDS_real,,,
# Model:,Uformer_T_RLP_RPIM,,
# Date:,22-02-2026 05:01,,
,,,
# Summary,,,
Total Images,294,,
Failed,0,,
Average PSNR (dB),20.9918,,
Average SSIM,0.699,,
,,,
# Per-Image Results,,,
Image Name,GT Name,PSNR (dB),SSIM
raindrop_101.png,101.png,22.453,0.7875
raindrop_102.png,102.png,22.4699,0.781
raindrop_107.png,107.png,21.5359,0.7985
raindrop_108.png,108.png,20.7144,0.7855
raindrop_113.png,113.png,22.568,0.8266
raindrop_114.png,114.png,19.9095,0.7861
raindrop_115.png,115.png,26.3667,0.8537
raindrop_118.png,118.png,18.6476,0.6831
raindrop_121.png,121.png,15.7542,0.6349
raindrop_122.png,122.png,21.6231,0.7725
raindrop_123.png,123.png,26.7409,0.8631
raindrop_125.png,125.png,20.3841,0.7588
raindrop_126.png,126.png,21.8372,0.7596
raindrop_127.png,127.png,22.0927,0.7457
raindrop_13.png,13.png,20.2765,0.7344
raindrop_131.png,131.png,21.5337,0.7614
raindrop_132.png,132.png,20.4744,0.7533
raindrop_137.png,137.png,19.6812,0.7367
raindrop_138.png,138.png,21.5282,0.7835
raindrop_139.png,139.png,21.0469,0.744
raindrop_14.png,14.png,20.005,0.7668
raindrop_144.png,144.png,19.6706,0.6906
raindrop_145.png,145.png,19.2985,0.7746
raindrop_146.png,146.png,20.3895,0.7857
raindrop_148.png,148.png,17.8668,0.6946
raindrop_149.png,149.png,19.0704,0.603
raindrop_150.png,150.png,24.2182,0.8187
raindrop_151.png,151.png,21.4735,0.7755
raindrop_152.png,152.png,24.8874,0.7779
raindrop_155.png,155.png,19.501,0.7248
raindrop_157.png,157.png,18.7674,0.6059
raindrop_158.png,158.png,19.0893,0.7916
raindrop_163.png,163.png,21.079,0.7425
raindrop_164.png,164.png,21.3765,0.7674
raindrop_169.png,169.png,18.2192,0.7034
raindrop_170.png,170.png,19.9153,0.6921
raindrop_175.png,175.png,16.3536,0.7257
raindrop_176.png,176.png,20.15,0.6034
raindrop_181.png,181.png,20.8363,0.6741
raindrop_182.png,182.png,20.024,0.7703
raindrop_187.png,187.png,18.0635,0.6323
raindrop_188.png,188.png,18.5335,0.4785
raindrop_19.png,19.png,17.4032,0.4654
raindrop_193.png,193.png,19.1643,0.6917
raindrop_194.png,194.png,18.299,0.697
raindrop_199.png,199.png,20.0521,0.7263
raindrop_2.png,2.png,19.2005,0.6762
raindrop_20.png,20.png,17.4086,0.4804
raindrop_200.png,200.png,23.259,0.7342
raindrop_205.png,205.png,19.0609,0.6831
raindrop_206.png,206.png,20.8238,0.7245
raindrop_207.png,207.png,21.4234,0.806
raindrop_208.png,208.png,22.3047,0.7899
raindrop_209.png,209.png,18.1208,0.6724
raindrop_210.png,210.png,20.9337,0.7741
raindrop_211.png,211.png,20.905,0.7471
raindrop_212.png,212.png,20.6175,0.7615
raindrop_213.png,213.png,21.1286,0.7843
raindrop_214.png,214.png,18.3925,0.6127
raindrop_215.png,215.png,20.2615,0.7408
raindrop_216.png,216.png,17.2294,0.6399
raindrop_217.png,217.png,17.8556,0.5798
raindrop_218.png,218.png,22.6754,0.7556
raindrop_25.png,25.png,18.0526,0.3756
raindrop_26.png,26.png,15.6573,0.1526
raindrop_30.png,30.png,13.6757,0.5941
raindrop_32.png,32.png,19.6443,0.6914
raindrop_33.png,33.png,23.1505,0.7855
raindrop_34.png,34.png,20.9668,0.665
raindrop_35.png,35.png,21.1457,0.5723
raindrop_37.png,37.png,16.3095,0.5814
raindrop_41.png,41.png,21.1776,0.7181
raindrop_42.png,42.png,15.9144,0.6817
raindrop_43.png,43.png,17.0077,0.6762
raindrop_44.png,44.png,20.0359,0.7016
raindrop_47.png,47.png,21.9369,0.689
raindrop_50.png,50.png,21.1497,0.7686
raindrop_51.png,51.png,21.4767,0.7244
raindrop_52.png,52.png,21.5566,0.7546
raindrop_53.png,53.png,20.7207,0.7711
raindrop_58.png,58.png,16.5956,0.6466
raindrop_59.png,59.png,22.7805,0.8018
raindrop_6.png,6.png,17.0864,0.5754
raindrop_64.png,64.png,23.0451,0.7726
raindrop_65.png,65.png,22.5782,0.7637
raindrop_66.png,66.png,23.953,0.7856
raindrop_7.png,7.png,16.7822,0.5924
raindrop_71.png,71.png,18.9931,0.7537
raindrop_72.png,72.png,25.8217,0.8603
raindrop_77.png,77.png,23.3748,0.8054
raindrop_78.png,78.png,20.3976,0.7543
raindrop_8.png,8.png,20.0386,0.6679
raindrop_83.png,83.png,19.975,0.6033
raindrop_84.png,84.png,18.3621,0.6913
raindrop_89.png,89.png,18.2238,0.3023
raindrop_90.png,90.png,21.2625,0.784
raindrop_95.png,95.png,23.4203,0.8211
raindrop_96.png,96.png,22.4865,0.8566
rainstreak_101.png,101.png,23.1256,0.6589
rainstreak_102.png,102.png,23.3577,0.7345
rainstreak_107.png,107.png,22.2619,0.7548
rainstreak_108.png,108.png,22.7929,0.7926
rainstreak_113.png,113.png,25.6279,0.8723
rainstreak_114.png,114.png,25.676,0.8623
rainstreak_115.png,115.png,27.4424,0.8468
rainstreak_118.png,118.png,21.3994,0.7123
rainstreak_121.png,121.png,21.7332,0.7689
rainstreak_122.png,122.png,24.4554,0.7667
rainstreak_123.png,123.png,26.7726,0.8137
rainstreak_125.png,125.png,28.4825,0.8347
rainstreak_126.png,126.png,24.2132,0.6214
rainstreak_127.png,127.png,28.1772,0.8684
rainstreak_13.png,13.png,22.5047,0.716
rainstreak_131.png,131.png,23.1493,0.8185
rainstreak_132.png,132.png,21.8929,0.736
rainstreak_137.png,137.png,20.0009,0.7014
rainstreak_138.png,138.png,23.1775,0.8401
rainstreak_139.png,139.png,22.1685,0.7602
rainstreak_14.png,14.png,22.6505,0.7133
rainstreak_144.png,144.png,21.3604,0.6652
rainstreak_145.png,145.png,22.5114,0.8261
rainstreak_146.png,146.png,25.3759,0.8329
rainstreak_148.png,148.png,21.9392,0.7639
rainstreak_149.png,149.png,23.4697,0.6524
rainstreak_150.png,150.png,28.4147,0.8604
rainstreak_151.png,151.png,26.685,0.8216
rainstreak_152.png,152.png,27.6994,0.849
rainstreak_155.png,155.png,24.5423,0.8604
rainstreak_157.png,157.png,21.5548,0.7081
rainstreak_158.png,158.png,23.233,0.8281
rainstreak_163.png,163.png,24.2534,0.8546
rainstreak_164.png,164.png,24.0459,0.8028
rainstreak_169.png,169.png,19.4123,0.7163
rainstreak_170.png,170.png,22.016,0.6682
rainstreak_175.png,175.png,20.8455,0.7659
rainstreak_176.png,176.png,23.0307,0.7873
rainstreak_181.png,181.png,22.3531,0.746
rainstreak_182.png,182.png,22.1664,0.7936
rainstreak_187.png,187.png,21.9957,0.7733
rainstreak_188.png,188.png,21.3142,0.7437
rainstreak_19.png,19.png,18.0411,0.2821
rainstreak_193.png,193.png,22.4804,0.7305
rainstreak_194.png,194.png,22.0475,0.8178
rainstreak_199.png,199.png,23.6263,0.8102
rainstreak_2.png,2.png,20.4706,0.6678
rainstreak_20.png,20.png,18.1926,0.5176
rainstreak_200.png,200.png,28.3511,0.8492
rainstreak_205.png,205.png,26.0171,0.81
rainstreak_206.png,206.png,28.0219,0.8502
