# RLP Evaluation Results - RainDS_syn,,,
# Model:,Uformer_T_RLP_RPIM,,
# Date:,22-02-2026 04:56,,
,,,
# Summary,,,
Total Images,600,,
Failed,0,,
Average PSNR (dB),20.2807,,
Average SSIM,0.6775,,
,,,
# Per-Image Results,,,
Image Name,GT Name,PSNR (dB),SSIM
raindrop_pie-rd-100.png,pie-norain-100.png,19.4037,0.7509
raindrop_pie-rd-104.png,pie-norain-104.png,19.6149,0.7599
raindrop_pie-rd-108.png,pie-norain-108.png,19.961,0.7485
raindrop_pie-rd-109.png,pie-norain-109.png,19.0749,0.741
raindrop_pie-rd-110.png,pie-norain-110.png,20.3127,0.749
raindrop_pie-rd-113.png,pie-norain-113.png,18.702,0.7567
raindrop_pie-rd-118.png,pie-norain-118.png,18.786,0.7603
raindrop_pie-rd-124.png,pie-norain-124.png,18.1841,0.7543
raindrop_pie-rd-128.png,pie-norain-128.png,18.3524,0.7564
raindrop_pie-rd-138.png,pie-norain-138.png,20.43,0.7442
raindrop_pie-rd-143.png,pie-norain-143.png,20.3863,0.7571
raindrop_pie-rd-163.png,pie-norain-163.png,18.0974,0.7609
raindrop_pie-rd-173.png,pie-norain-173.png,18.5869,0.7604
raindrop_pie-rd-174.png,pie-norain-174.png,18.9671,0.7643
raindrop_pie-rd-180.png,pie-norain-180.png,19.5099,0.7689
raindrop_pie-rd-182.png,pie-norain-182.png,18.591,0.7556
raindrop_pie-rd-19.png,pie-norain-19.png,22.1588,0.797
raindrop_pie-rd-212.png,pie-norain-212.png,18.8984,0.7617
raindrop_pie-rd-213.png,pie-norain-213.png,18.8684,0.76
raindrop_pie-rd-216.png,pie-norain-216.png,18.9625,0.753
raindrop_pie-rd-223.png,pie-norain-223.png,18.5964,0.7483
raindrop_pie-rd-225.png,pie-norain-225.png,18.6385,0.7474
raindrop_pie-rd-228.png,pie-norain-228.png,19.1767,0.7535
raindrop_pie-rd-229.png,pie-norain-229.png,19.1513,0.7508
raindrop_pie-rd-234.png,pie-norain-234.png,21.4933,0.8037
raindrop_pie-rd-236.png,pie-norain-236.png,21.523,0.8053
raindrop_pie-rd-237.png,pie-norain-237.png,21.3072,0.8074
raindrop_pie-rd-264.png,pie-norain-264.png,22.2136,0.8549
