# RealRain-1k-H Evaluation Results,,
# Generated:,21-02-2026 22:34,
,,
# Model Information,,
Model,Uformer_T_RLP_RPIM,
Test Dataset,RealRain-1k-H,
,,
# Overall Metrics,,
Total Images,224,
Processed Images,224,
Failed Images,0,
Average PSNR (dB),21.2564,
Average SSIM,0.7115,
,,
# Per-Image Results,,
Image Name,PSNR (dB),SSIM
1002.png,26.0708,0.9438
1003.png,23.0375,0.8064
1004.png,20.3045,0.7525
1006.png,19.2944,0.6094
1009.png,26.2134,0.8188
1010.png,22.3707,0.8323
1013.png,23.04,0.7832
1014.png,22.6679,0.7332
1015.png,24.3552,0.6815
1016.png,22.7504,0.8002
102.png,23.6791,0.7771
1020.png,23.3462,0.8373
1023.png,19.1387,0.6828
1030.png,23.5695,0.8633
1031.png,19.8918,0.5777
1035.png,20.422,0.7458
1040.png,20.4243,0.6989
1041.png,21.2733,0.6746
1050.png,22.6034,0.7838
106.png,27.8925,0.9411
1060.png,24.583,0.8226
107.png,20.9024,0.795
1071.png,19.5381,0.653
1080.png,21.7733,0.6137
1086.png,21.0898,0.8021
1088.png,20.1611,0.7557
1096.png,19.5288,0.817
1097.png,22.6921,0.8269
110.png,24.1952,0.8825
1101.png,19.5109,0.6822
1102.png,21.3662,0.6636
1105.png,20.227,0.4921
1107.png,20.0651,0.6251
1108.png,18.0232,0.6632
1109.png,18.7096,0.483
1113.png,17.6803,0.5607
114.png,25.7082,0.8915
115.png,24.7271,0.8943
120.png,20.0689,0.623
122.png,20.5566,0.6482
134.png,24.5389,0.821
136.png,23.5005,0.7334
141.png,20.8957,0.7478
15.png,25.4911,0.737
152.png,22.8004,0.7404
153.png,20.465,0.679
17.png,21.4164,0.6823
170.png,27.0956,0.9339
173.png,22.4463,0.7109
178.png,20.6132,0.673
18.png,22.5188,0.8761
180.png,21.8885,0.7994
181.png,21.2962,0.6842
187.png,22.3235,0.7059
188.png,22.0568,0.8846
189.png,23.1744,0.7501
195.png,22.2825,0.8281
197.png,16.6582,0.4153
198.png,22.4605,0.6795
2.png,19.4425,0.7791
200.png,28.2288,0.9377
221.png,19.678,0.6701
231.png,20.1476,0.7152
