# RealRain-1k-L Evaluation Results,,
# Generated:,21-02-2026 22:51,
,,
# Model Information,,
Model,Uformer_T_RLP_RPIM,
Test Dataset,RealRain-1k-L,
,,
# Overall Metrics,,
Total Images,224,
Processed Images,224,
Failed Images,0,
Average PSNR (dB),22.2283,
Average SSIM,0.8013,
,,
# Per-Image Results,,
Image Name,PSNR (dB),SSIM
1002.png,25.0544,0.9482
1003.png,22.7624,0.8734
1004.png,19.9524,0.8118
1006.png,23.0237,0.8028
1009.png,23.7587,0.8795
1010.png,22.1754,0.8562
1013.png,21.9734,0.8722
1014.png,22.5993,0.8576
1015.png,25.9657,0.8014
1016.png,21.919,0.8473
102.png,22.696,0.8513
1020.png,22.7038,0.8421
1023.png,19.1953,0.8066
1030.png,23.564,0.8936
1031.png,18.9488,0.7305
1035.png,20.0182,0.8079
1040.png,20.2528,0.7561
1041.png,20.4028,0.7241
1050.png,24.2309,0.8551
106.png,30.5019,0.9628
1060.png,22.3967,0.8502
107.png,20.5074,0.8036
1071.png,21.7415,0.78
1080.png,23.6418,0.7074
1086.png,20.5285,0.8237
1088.png,21.412,0.8162
1096.png,18.8774,0.8515
1097.png,22.1244,0.8645
110.png,23.4712,0.9089
1101.png,19.6112,0.7943
1102.png,21.5922,0.8008
1105.png,22.6874,0.6835
1107.png,19.3303,0.7297
1108.png,17.4187,0.791
1109.png,17.7604,0.6568
1113.png,17.8728,0.6548
114.png,26.1402,0.9113
115.png,24.5592,0.9091
120.png,21.0451,0.7117
122.png,22.862,0.7338
134.png,24.148,0.8545
136.png,25.7826,0.8065
141.png,22.8064,0.8133
15.png,27.3987,0.8488
152.png,24.5763,0.833
153.png,22.0145,0.7861
17.png,21.8496,0.7492
170.png,28.2822,0.9518
173.png,25.588,0.7798
178.png,24.8156,0.8226
18.png,21.8163,0.8813
180.png,23.2587,0.8601
181.png,24.5403,0.8241
187.png,23.7098,0.7791
188.png,21.8536,0.8861
189.png,24.2471,0.8575
195.png,23.6851,0.8857
197.png,19.7707,0.6386
198.png,22.5422,0.7454
2.png,18.7685,0.8047
200.png,27.9572,0.9413
221.png,21.2143,0.7724
231.png,21.018,0.7731
232.png,21.2636,0.761
25.png,18.3813,0.8959
252.png,22.0125,0.8607
257.png,18.9878,0.632
261.png,22.753,0.8545
262.png,21.0079,0.674
264.png,22.1603,0.7156
268.png,19.3071,0.6394
287.png,24.2092,0.8281
290.png,20.7582,0.7118
311.png,22.7326,0.8581
313.png,23.0792,0.7669
338.png,18.6915,0.7431
34.png,21.6542,0.7949
345.png,17.5371,0.7176
346.png,19.5008,0.7721
348.png,19.2133,0.7135
35.png,21.2592,0.7037
356.png,22.9568,0.8673
36.png,25.4736,0.8634
367.png,17.3589,0.818
368.png,24.0697,0.8764
37.png,24.2587,0.9046
378.png,22.5788,0.8191
381.png,21.5743,0.8238
382.png,19.8739,0.8822
389.png,22.2568,0.8848
39.png,20.7294,0.778
399.png,19.2261,0.757
40.png,19.1268,0.8526
403.png,16.4548,0.5441
404.png,21.4286,0.7882
407.png,18.302,0.5023
410.png,16.8944,0.523
412.png,17.7781,0.5791
425.png,22.6549,0.7447
429.png,25.3139,0.8375
45.png,28.6635,0.9528
451.png,26.6974,0.9166
465.png,20.257,0.7358
47.png,25.2717,0.8725
472.png,21.4848,0.7367
479.png,22.4679,0.7892
481.png,20.7855,0.8524
485.png,20.796,0.7325
495.png,26.6031,0.8816
497.png,24.9952,0.8646
499.png,28.2331,0.8946
50.png,21.5917,0.9026
502.png,23.9914,0.8771
52.png,22.6372,0.7887
524.png,18.5217,0.839
525.png,21.9753,0.8235
528.png,19.1565,0.6883
529.png,22.0383,0.8195
54.png,25.1858,0.9183
540.png,22.7168,0.8957
548.png,20.3765,0.817
551.png,20.6841,0.8219
565.png,20.7179,0.8132
566.png,22.6287,0.8653
569.png,18.9544,0.7708
576.png,18.7328,0.7799
578.png,17.5926,0.8122
58.png,20.6731,0.8257
584.png,23.6645,0.8209
587.png,24.5038,0.8766
588.png,24.3961,0.8364
596.png,18.1535,0.7557
598.png,19.7381,0.8968
602.png,18.4093,0.7167
61.png,26.1884,0.9026
614.png,21.9705,0.8252
622.png,23.2412,0.8339
628.png,24.8272,0.8318
636.png,27.0969,0.8838
637.png,28.0859,0.8987
642.png,19.7464,0.7663
643.png,20.7213,0.7113
645.png,18.5875,0.8327
65.png,28.6157,0.9382
661.png,19.1422,0.7496
665.png,20.8235,0.7764
666.png,19.5076,0.7994
668.png,21.7629,0.8541
671.png,20.1979,0.7546
674.png,23.0917,0.8834
678.png,20.226,0.6859
682.png,26.8555,0.8479
689.png,18.9811,0.7136
690.png,21.9178,0.8464
7.png,26.2121,0.9023
70.png,19.029,0.8856
702.png,19.5334,0.808
706.png,19.9869,0.7873
711.png,18.3054,0.7298
716.png,25.6571,0.9378
719.png,27.9317,0.7744
72.png,20.2448,0.765
720.png,31.4525,0.8795
721.png,31.9117,0.9051
727.png,25.7358,0.8663
729.png,19.7501,0.809
732.png,26.2315,0.8747
742.png,21.7121,0.696
744.png,24.1481,0.8443
751.png,23.1581,0.6918
752.png,25.6636,0.8735
755.png,22.8302,0.8097
756.png,21.4591,0.7635
759.png,22.626,0.8066
762.png,19.0955,0.7831
765.png,21.9913,0.8376
766.png,19.8395,0.7188
767.png,25.2325,0.8586
770.png,22.4201,0.842
778.png,22.5841,0.8588
779.png,25.7531,0.8985
78.png,26.0245,0.9435
780.png,27.8693,0.8831
788.png,21.5047,0.887
789.png,21.1728,0.7035
79.png,21.4457,0.8071
797.png,19.923,0.798
813.png,20.7275,0.7045
814.png,21.0687,0.6943
