# SynRain-13k Evaluation Results,,
# Generated:,21-02-2026 23:21,
,,
# Model Information,,
Model,UNet_RLP_RPIM,
Test Dataset,SynRain-13k,
,,
# Overall Metrics,,
Total Images,1200,
Processed Images,1200,
Failed Images,0,
Average PSNR (dB),23.7611,
Average SSIM,0.8175,
,,
# Per-Image Results,,
Image Name,PSNR (dB),SSIM
1.png,23.9617,0.8592
10.png,23.8302,0.8778
100.png,28.8787,0.8613
1000.png,24.6057,0.823
1001.png,26.639,0.8416
1002.png,30.3792,0.8877
1003.png,21.4264,0.74
1004.png,24.6941,0.8231
1005.png,18.5957,0.8028
1006.png,27.3976,0.7923
1007.png,25.1504,0.8344
1008.png,22.659,0.8588
1009.png,24.4579,0.9237
101.png,26.2299,0.8782
1010.png,28.8088,0.9346
1011.png,24.1767,0.8541
1012.png,23.2611,0.8862
1013.png,28.7198,0.9124
1014.png,23.6435,0.8419
1015.png,31.4712,0.913
1016.png,26.4593,0.8416
1017.png,24.4602,0.8148
1018.png,25.8078,0.8464
1019.png,20.2313,0.7695
102.png,21.4564,0.8522
1020.png,21.3431,0.7815
1021.png,21.8969,0.862
1022.png,21.686,0.8616
1023.png,26.264,0.8671
1024.png,17.553,0.6527
1025.png,27.547,0.8709
1026.png,16.637,0.6149
1027.png,23.2199,0.8636
1028.png,32.8035,0.9347
1029.png,21.5526,0.8419
103.png,24.2315,0.8891
1030.png,25.1895,0.8728
1031.png,23.5486,0.7765
1032.png,21.7631,0.7967
1033.png,22.8969,0.8336
1034.png,20.2724,0.7654
1035.png,24.9858,0.7884
1036.png,18.2018,0.7472
1037.png,24.9591,0.7963
1038.png,24.0541,0.7969
1039.png,18.7307,0.6248
104.png,25.5172,0.8334
1040.png,20.1137,0.8621
1041.png,23.0169,0.7791
1042.png,26.391,0.9261
1043.png,26.8233,0.883
1044.png,28.6556,0.9209
1045.png,20.4395,0.7345
1046.png,26.8422,0.8868
1047.png,26.9219,0.8965
1048.png,24.9353,0.797
1049.png,25.5813,0.8208
105.png,26.0439,0.8775
1050.png,26.7442,0.8529
1051.png,26.3078,0.9016
1052.png,22.4451,0.8245
1053.png,23.5431,0.8359
1054.png,26.0211,0.8438
1055.png,21.1149,0.7972
1056.png,26.0867,0.8857
1057.png,19.9827,0.8561
1058.png,21.4456,0.8223
1059.png,20.1516,0.7793
106.png,29.3002,0.8892
1060.png,23.5936,0.7492
1061.png,24.581,0.8302
1062.png,18.0415,0.6774
1063.png,20.6682,0.7779
1064.png,25.548,0.8731
1065.png,16.9641,0.5542
1066.png,24.8018,0.8289
1067.png,25.1149,0.8837
1068.png,19.9423,0.7515
1069.png,24.2732,0.8638
107.png,18.8105,0.7669
1070.png,22.5652,0.8428
1071.png,26.6111,0.8204
1072.png,18.1615,0.7393
1073.png,26.7386,0.9059
1074.png,20.6435,0.7719
1075.png,27.2038,0.8311
1076.png,22.0238,0.768
1077.png,21.7155,0.7685
1078.png,23.45,0.8424
1079.png,20.3104,0.7126
108.png,24.6218,0.8066
1080.png,23.4422,0.8432
1081.png,23.3797,0.8433
1082.png,26.2234,0.8353
1083.png,24.5367,0.822
1084.png,18.1288,0.6231
1085.png,27.1105,0.9052
1086.png,23.9373,0.7688
1087.png,29.1799,0.8799
1088.png,25.0216,0.9205
1089.png,23.6101,0.9069
109.png,25.6826,0.8739
1090.png,24.3977,0.8563
1091.png,22.9675,0.8448
